defid	word	variant	label_index	definition
267	misspelt	misspelled	10	"The bad, ugly and otherwise deprecated spelling of ""misspelled."""
2141	confuzzled	 confused	3	another word for confused, usually used by girls to sound cute
7935	kewl	cool	6	"A stupid way of spelling ""cool"". Made up by morons."
9804	fuckel	fuckall	3	alternate spelling for fuckall
10555	bote	boat	7	See boat. Qoolz way of spelling boat.
10559	sope	soap	10	Alternative (and better) spelling of soap. See soap
11272	teh	the	4	"intentional misspelling of ""the."" see yuo."
12024	crao	crap	4	"Intentional misspelling of ""crap"". Used to irreverently bitch and moan about getting killed in a first-person shooter."
12399	Pwn	own	31	Pronunciation: (pôn) Originally a misspelling of the word own, as in to totally have a skillful advantage over someone or something pwn is to more than just own; to pwn.
12513	Wasabi	wazabi	14	1. Horse Radish Paste 2. Experession of greeting or excitement. Spelling Variations: WAZABI WWAAAAAAAASAAAAAAAABIIIIIII WWWWWWWAAAAAAAAAAAZAABI etc.
15543	nadsaq	nasdaq	8	1. The scrotum. 2. Common misspelling of NASDAQ.
15887	vumpus	wumpus	13	A phonetic spelling of a more commonly known character and AI examplme, wumpus
16580	dood	dude	6	alternate spelling for dude. See dude
17369	dum	dumb	13	to not be smart about something or not make correct decisions correct spelling dumb
18055	chrizzle	 christmas	6	"altered form of the word ""christmas"""
19070	kult	cult	7	"1. Variant spelling on the word ""cult"". Used in the metal music underground to describe music and behavior that is obscure or perceived to be obscure. Denotes alignment with status quo attitudes within the underground culture. 2. A catch-all word used by scenesters to justify absurd ideas, behavior, and according bands. Also see: dumbass poser football"
19560	Kfuc	fuck	2	Misspelling of Fuck
20843	Gave	gayve	3	A mispelling of Gayve.
23634	meag	 meager	6	"An abbreviation for the word ""meager"""
25283	azz	ass	11	"Mispelling or pronounciation of ""ass"". This form of ass is usually used as an insult or in chart rooms, IM, or e-mail."
27073	skool	school	5	"A different way to spell school. This spelling is for the idiots that dropped out of ""skool"""
28943	haxx0r	hacking	3	l33t spelling of hacking. To hack someone's computer.
30618	fo	of	4	"Intentional misspelling of ""of"" for ironic effect."
31046	wvu!	wuv	3	a mispelling of wuv which is a derivitive of love; to show a friendly gesture
32066	hore	whore	5	"a bad spelling of ""whore"""
32525	Meh	me	6	"A misspelling of the word ""me"", or on purpose. Also, an expletive uttered by drunken men."
33468	arin	arin	9	"Arin - Unique spelling of the boys name ""Arin"""
33505	s3xy	sexy	4	"Improper spelling of ""sexy"". This word is most likely used by the Internet nerd community."
35655	shiznamotherfuk	shizznuhmotherfucc	6	see wordshiznamotherfuck/word. alternate spellings: shizznuhmotherfucc shiznuhmotherfuck shiznahmutherfukk shinuhotherfuck
35754	shiznahmutherfukk	fuck	6	"A tighter way to say ""Fuck!"" The fusion of the words ""shizzy"" and ""motherfuck."" A cool way of spelling wordshiznamotherfuck/word. A vulgar expression of anger, frustration, or eagerness."
37416	Tire	sab0tage	0	sab0tage its the correct spelling when you refer to the rubber part of a wheel.
37672	jawesome	jawsome	23	(adjective, adverb, interjection) awesome; coined by the Street Sharks action figures and cartoon show; alt. spelling jawsome
37680	fizix	physics	8	"(noun) an alternate spelling for ""physics"""
39597	j-o-o	jew	5	Eric Cartman's Spelling of jew
40767	kewl	cool	8	"Internet slang and spelling for the word ""cool"""
41017	liek	like	5	an intentional spelling mistake of like, often used in online chatrooms, forums, etc.
43530	caulk	cock	15	1. Something that goes around windows to keep cold air out 2. Alternate spelling of cock only the coolest of cool can use
44709	aight	aiight	36	"common misspelling for ""aiight."" pronunciation and defition are the same as above, however, proper spelling for origin of the word is with two ""I""s, not one. aiight."
48400	squall	squell	5	"a moron misspelling of ""squell"", which means a stupid asshole"
48508	compruder	computer	13	"The slow man's, or retards way of spelling the word ""Computer."""
52647	fo	for	4	"a misspelling of ""for"" when someone is typing a mile a minute, or in capitalised form, the hypothetical compound of oxygen fluoride"
59075	jenkey	janky	4	idiots way of spelling janky
59589	osmethne	something	5	"An alternate spelling of ""something"", often hastily typed, in a fit of rage, or illiteracy."
59927	masterbating	masturbating	7	"a common mispelling of the word ""masturbating"", which is the ING form of wordmasturbation"
60564	poep	poop	4	"a mispelling of ""poop"""
61947	pweed	pwned	5	a misspelling of the word pwned, also means to have a piss.
62314	cooder	cooter	4	a varaint spelling of cooter aka Pussy
64881	lfmao	lmfao	5	an dumbass mis spelling of lmfao
64945	Pwn	own	9	"To totally own someone. A mispelling of ""own"", since p is next to o on the keyboard."
66622	bastid	bastard	3	cutesy spelling of bastard.
67418	prwans	prawns	3	Mistyped Spelling of prawns, or pawns
67548	fach	 face	11	A term used for face; the fancy way of saying face.
67827	f0ck	fuck	8	the mostest 1337 spelling of the wonderful word fuck. it can be used as every part of speech.
69418	langiappe	lagniappe	4	Correct spelling is: lagniappe
73960	mexispeak	mexi-speak	15	n; spanish or a form of spanish used by mexicans alternate spellings include: mexi-speak
75755	halloa	 hello	6	"the bestest way to say ""hello"" to someone."
75784	stewpit	stupid	5	the proper way of spelling stupid.
77405	Xero	zero	5	Some idiotic way of spelling zero or cero if your spanish.
78203	rawk	rock	5	The idiots way of spelling rock...often used in scentances as follows...
81309	jaxi	jacksy	9	Arse. This is a less common spelling, jacksy is more common.
81312	navo	turnip	2	Spanish for turnip, which in Gibraltar at least can be used to mean dick. Correct spelling is nabo.
82377	boolshit	bullshit	4	"alternate spelling of ""bullshit"", popular with computer programmers"
82997	thom	tom	4	"1. misspelling of ""Tom"" 2. slang for anti-social, often alcoholic recluse 3. homosexual man of asian descent"
86353	homaphobe	homophobe	2	Mispelling of homophobe
88905	shitheid	shithead	3	Scottish spelling of shithead. Means possessing a head full of shit.
90786	aer	are	5	"Mis-spelling of the word ""are"" which often occurs online."
93309	aite	alright	9	"A corrupt form of ""Alright"". ""Alright"" in Ebonics. Incorrect spelling in this case. Correct spelling => ""Aight"""
93832	pwned	owned	18	"to humiliate: usually relating to first person shooter computer games. Deliberate mispelling of the word ""owned""."
94177	bunghole	 anus	6	1.) Another word for anus. 2.) A derogitory term.
95021	Marajuana	marijuana	4	"A misspelling of ""marijuana""."
99839	phagina	vagina	4	"Alternate spelling of ""vagina"", often used in 1337 language."
103383	cahk	cock	4	Alt. spelling of cock.
104235	fonk	fuck	13	"An alternate, and more amusing spelling of the common curse word ""Fuck"""
104654	drak	dark	4	Misspelling of the word dark.
107588	blundt	blunt	3	alternate spelling for blunt
109536	welp	 well	12	"(interjection): another word for well as in ""Oh well."", (noun): a pointless event."
114158	eleet	elite	5	A retard's misspelling of ELITE.
116870	Poof	good-bye	5	"a slang term for ""good-bye""; can have multiple spellings and usages: poofers, poofas, poofpoof"
119214	smrat	smart	19	"Intentional misspelling of the word ""smart""-- which can be defined as ""the sarcastic form of smart""."
119226	masterbation	masturbation	5	"A common mispelling of ""masturbation"" used by retarded twelve year olds who are neglected by their parents and listen to Linkin' Park."
119229	terd	turd	3	"Mispelling of ""turd"". Along the same lines as ""rheatard"", ""reetard"", ""masterbate"", and ""your"" when not used correctly in a sentence."
119615	jiggafied	jiggified	4	another way of spelling jiggified; to be turned black; to act as if you're black; to be blackified
120767	splade	spork	13	Alternate spelling of spork, it is well disputed over which word (spork or splade) is the appropriate word by my father and my grandparents. Hoy.
121100	homesar	homsar	7	"An improper spelling and pronunciation of ""Homsar"" (Hom like ""Mom"" and sar like ""SARS"")"
121890	devestated	devastated	9	"A misspelling (and bizarre pronunciation) of ""devastated."""
