label	pair	defid	definition
	b, spliff	2202194	another word for spliff mainly used in midlands in the uk
	dankerman, dumb	4802758	another word for dumb homless fagget
	bunjulio, butthole	9384322	(Bun/hoo/leo) Another word for butthole or anus.
	goochie, penis	2085421	another word for penis a word brianna, jeremy, and brett made up in the cafeteria during study hall in eighth grade.
	rarther, rather	1327627	the posh way of saying rather
	cheddar, mate	4064671	A replacement for the word mate.
1	vagunum, vagina	5563884	another word for vagina
	d.u.n.s., drops	1063241	Stands for, Dont Underclassmen Noobs Suck. A term meaning to exclude or ridicule otherwise cool underclassmen. Flawed in the sense that the singular form of the word drops the S.
	randy, cu--t	12624428	Randy;A Pronoun; DIRT~STAR, Overly exaggerated, commonly DECIEVING form of thing that is even remotely Good for the soul. Should have irremovabal Mr. Yuck stickers plasterd all over it's outer covering. When you want to really picture Randy anywhere remotely around You, your children or your family pets, Think Narcisistic Sociopath (look it up people) Think lime green, Think Mr. Yuck..Think of your keys going missing only to find your car has been thrashed and important things have gone missing..Think of your cell phone and how much you value your contacts , then Think of it missing only to find later that RANDY has seethed through your phone, called your contacts and allianated you, and brutally slandard and lied to every single one of them, ABOUT YOU! SO Yeah! Think Lies., Think of the word CU--T..and how much you love to hear it spoken in your earshot! let alone your children or pets.. then Think of more LIES, And how much you like LIVING ONE, BECAUSE, by allowing Randy into your Inersanctum you will continually be asking yourself if you are! .(and you know what that answer will be!)..When you Think you have to Think of Randy. Think ...of taking a huge dump. Think of running the other direction, Think of The color yellow, it's yield for slow the heck down ; precaution. And if your unlucky enough to come close to Randy..Run, don't walk...to a real safe place, untill the coast is clear# keep the devil Far...far....and AWAY!life is precious! Live WISE!..
	cock, cock	9879468	Original teaching of the word cock is a sword, and already appears in the Bible and Midrash borrowed means.
1	keet, parakeet	741818	1.) Noun: Shortened version of the word 'Keety' which is slang for 'Kitty' referring to Felis Catus the common house cat. 2.) Noun: pseudo-stoner speak (similar to the word 'Dude'), used by people from Massachusettes and Canada to gain one's attention over AOL instant messanger. see also Keetz0r. 3.) Noun: Short for the word 'Parakeet' or Budgerigar, referring to a type of bird people keep as pets. 4.) Verb: To steal. Se also. kife gank jew 5.) Noun: A tribal race of mutant spear-hunting anthromorphic jaguars! They live in the southeastern part of Nebraska and feed upon small children and various small fluffy animals.
	cathole, vagina	4833895	Another word for vagina.
	nonce, paedophile	11825730	Another word for Paedophile.
	fick, f*ck	232326	the new fealand way of saying f*ck. can i swear here? oh well. i say it coz alex (screw you too hippy!) wont let me say feck.
1	fat, faizal	10644481	Another word for faizal
	hrit, shit	2920235	The slurred pronounciation of the word \"shit.\" Can be used in place of \"shit\" in public places where \"shit\" would not be acceptable, such as school.
	shiisa, shit	129140	another word for shit
1	racit, racist	2564533	In general, a continued online mispelling of the word \"racist\" and eventually a common slang term used online when referring to someone as being racist. It can also mean just an annoying or stupid person.
	kleetuz, nigga	3747108	another word for nigga.. one that many dont know about it :) and you wont get introuble in school
	oughties, ought	2203151	The common pronouncement and name for the current decade, the '00s. The 'Oughties' was created out of the word \"ought\" which is an old-fashioned or British way of saying \"zero\".
	boosted, tea-bag	2158870	Another word for tea-bag.
	bint, woman	415502	The Arab meaning of the word \"woman\" but often used as a sexist term towards women.
1	shoup, s**toften	6587759	another word for s**toften used in relation to math
	knucklebone, fisting	7929375	Another word for fisting
	interwebs, internet	1136626	A mixture of both slang terms: The Interweb and the recent pluralization of the word Internet (Said by Bush during the 2004 debates). The Interwebs is identical in meaning to the other terms.
1	zerk, crazy	5650094	The futuristic form of the word crazy. Used to describe something that was beyond crazy or insane. A shortcut from the word Berserk but just Zerk for short.
	sexcellent, something	2557126	something wonderful, but sexy; a devilish way of saying something is very good; a combination of \"that's/it's\" and \"excellent\"
	ballimicro, thanks	2207882	a sarcastic way to say thanks or thank you to a jerkoff
	gudbai, goodbye	6897796	A cute way to say 'goodbye' for lolcats and other internet-dwellers.
	yoop, yeah	12727530	The more intelligent pronunciation of the word \"yeah\" or \"yup\" used by millennials and flat earthers, only the most intelligent life forms use this word.
	crobbage, marijuana	3830855	another word for marijuana. when you have bud that's dank as fuck.
1	chigro, chigger	5152801	Politically correct way of saying \"chigger.\"
	lolnado, lol	4151297	A term used to express how funny something is. A variation of the word LOL. It is as if the joke was so funny it caused a tornado.
	engrish, japperese	1286004	Mispronounced or mis-translated English words which are included in Japanese songs, signs etc. They sound so funny ;) And the reverse goes for the word Japperese
