label	pair	defid	definition
	ickah, ica	3947027	another way of saying Ica, but wonderfully orginal =) ;)
	lovee, you	1751266	A way of saying you care for someone or something. or An affectionate name for someone, like the word \"darling\" or \"love\"
	lovee, you	1752023	A way of saying you care for someone or something. or An affectionate name for someone, like the word \"darling\" or \"love\"
	assegg, food	4410784	A more *secretive* way of calling a person sexy then actually straight out calling a person sexy. Can be used as a way of saying an object is awesome. Can be used as a way of saying food tastes AMAZING!
	nigler, nigger	3102171	A misspelling of the word nigger used to bypass online filters.
	metchul, metal	2815196	another spelling of the word metal, used when ridiculing a heavy metal style, espcially black metal, or talking shit about a band you're annoyed of cuz they suck, or they sold out. Also used when ridiculing a metalhead, saying he's a metchulhead, or a tr00 metchulhead. Used by both metalheads and non-metalheads.
	oem, stock	1905259	Acronym for Original Equipment Manufacturer It's just another way of saying \"stock.\" The parts that come standard on anything: Cars, Computers, boats, planes, electric tools, ect. just to name a few.
	wierd, weird	4808099	The incorrect spelling of the word weird.
	wierd, weird	1922739	a particular spelling of the word weird which places the emphasis of 'I' as opposed to the 'We' first in perceiving things of this world as somehow abnormal or otherwise undescribable.
	wierd, weird	893293	a common misspelling of the word weird, which means someone who is..weird. otherwise very strange. cant think of a good meaning.
	slammered, something	6891329	A cross between Slammed and Hammered. Being more drunk then drunk. A state of being destroyed. Another way of saying something is Fk'ed up.
	tlak, talk	4963682	Originally created through a misspelling of the word 'talk', 'tlak' means 'To Lack a Kidney'
	petterass, pederast	1860277	Misspelling of the word 'pederast' made popular by The Big Lebowski. Webster's defines it as \"one who practices anal intercourse especially with a boy.\"
	bd, head	1280541	Bomb Dome another way of saying head
1	satin, satan	539157	1) An utterly horrible misspelling of the word \"Satan\". Anyone who uses the word \"satin\" in any other context besides, \"Oh, what lovely satin sheets you have!\" should not be allowed the privilege of breathing and shout be shot, or beaten to death with a pentacle. they seem to like those a lot. (The worst part is that I've seen satan spelled with an I more than I've seen it the correct way. 2) Yet another sign that humanity is doomed.
	shweepy, sleepy	2811505	another way of saying sleepy
	fcuk, fuck	5088112	An intentional misspelling of the word \"fuck\", and since the spelling of the word itself is \"fucked up\", it is used to emphasis one's point when using it in such context.
1	pron, porn	210200	1. A misspelling of the word \"porn\" (short for pornography). Often seen in search engine histories. 2. A popular euphamism for porn, often seen used by wannabe hackers and script kiddies who have to use \"1337speak\" in order to seem cool. Became popular after the search-engine typo became more common.
	pron, porn	452941	n : film or literature designed to stimulate sexual desire syn: pornography, porno n.Pornography. adj.Pornographic. \"pron\" or \"pr0n\" is An accidental or deliberate misspelling of the word 'porn'. Due to the common misspelling of the word, it has been accepted and encouraged amongst the online gaming community. It was also used to get around keyword filtering such as in AOL's parental control. This allowed all the children of the world to have access to all the porn (or pr0n) that is nessessary for a healthy childhood.
	goog, good	12663449	Goog is a way of saying good but with no actual meaning of good. It's like saying that was good but it was actually really bad. People won't know you are saying it's bad because usually, people will assume it is a typo but it isn't.
	glis, that	11053994	A slang word originating in early 2017. It is another way of saying that something or someone is cool.
	remainder, reminder	5827437	Frequent Missspelling of the word reminder as used by my Friend Shyam.
	dinkle, someone	7676869	A way of saying someone is stupid for saying something that you obviously knew.
	errday, everyday	5647012	a way of saying \"everyday\" yet in a cooler country slang accent, typically used by cool people in random conversation.
	godot, god	6005864	A way of saying 'God' without being slapped in the face by a religious woman.
	figger, figure	5058213	The phonetic spelling of the word figure when miss-pronounced by an individual. It's like Tigger from Winnie The Pooh only with a \"F\"...Figger. One crazy f-ed up (yet kinda cute) way to say the word and refers to a number or set of numbers (Figgers). The term is believed to have originated in the halls of MFRI sometime around the start of the 21st century.
	ritard, that	5395344	A way of saying that someone is a retard while in a music lesson.
	jeje, lol	1852736	another way of saying lol in spain or other hispanic countries. popular or myspace or aim
	hi, hello	11739846	A way of saying hello
	sheya, goodbye	5050365	Simply a way of saying goodbye with an added lisp.
	marine, gay	3770682	Another way of saying Gay
	tickaroo, correct	12091221	A way of saying correct
1	sucubus, succubus	316733	A rather frequent misspelling of the word \"Succubus\"
1	cousin, pronounced	299819	The oddly lacking-a-\"t\" official spelling of the word pronounced \"cuzint\" by members of communities in which nearly *everyone* is \"cuzints\" with nearly everyone else.
	nucular, nuclear	854322	A respelling of the word nuclear for those who don't particularly care if they get it right.
	phsycotic, psychotic	9011751	Relatively common misspelling of the word \"psychotic\". Different meaning, though: when you are so mad your brain gets stressed and takes a vacation
1	daogh, doagh	248671	Incorrect Spelling of the word \"Doagh\"
	blessed, stoned	4994046	A play on the word 'Blazed' to describe the effects of Marijuana on the human mind. Another way of saying 'Stoned' or 'Mashed'.
	watcat, someone	6250791	Another way of saying someone is crazy or out of the ordinary, or does something crazy and out of the ordinary.
	ber, bear	3218829	Another way of saying \"bear\".
	ber, bear	3687335	different spelling of the word 'bear', which means 'a lot' or 'very'
2	k, 1000	6263501	1. The 11th letter of the alphabet. 2. A way of saying 1000 dollars. 3. A short term for okay.
	raggie, raggy	2390085	The improper spelling of the word raggy.
	garys, gays	4022601	A misspelling of the word GAYS that has turned into the actual word in order to avoid being reported or banned.
