label	pair	defid	definition
1	menno, cool	4898890	True meaning is 'Strong'. The name is originally from Holland (The Netherlands).Another word for 'cool' or 'awesome'. This usually affects a guy named Menno too, because he is very cool (or awesome afcourse).
	bonerus, bonus	3583881	In keeping of the definition of the word \"bonus\" except, where as, pertaining to a situation which a male has a raging errection and could possibly enguage in sexual activity with a male or female depending on ones prefrence.
	troy, goatee	2812501	the Georgia version of the word \"goatee\" worn by black males; the longer and more 'vertical' the better.
	tay, hoe	9170055	Another word for hoe.
	muph, motherfucker	12726195	Another word for motherfucker
	sarcastical, sarcastic	8197469	Another word for sarcastic
	unlegal, illegal	12904518	A funny typo of the word illegal. Origins dating to the project blurple discord server celebrating it's 3rd year.
	legiterally, without	4656614	adv. used in place of 'legit' or 'legitimate' when whatever one is describing is really and truly legit to the strictest sense of the word without any exaggeration whatsoever.
	nigmish, gives	4960114	Nigmish is a replacement word, where the user of the word gives it the meaning
1	gank, weed	975563	another word for weed or marijuana
	turmoil, mud	2402346	A Other word for Mud \"worms live in it\"
	patrick, asshole	5518045	Patrick is a star fish on sponge bob and so patrick is another word for asshole.
	yessah, yes	1103728	this is a different way of saying yes sir.
	weazelle, weasel	5093677	noun. A different pronunciation of the word weasel, when using it to describe someone.
	bigly, big	1661222	The adverb of the word \"Big\". Great sized, not huge, but definitely large.
	bigly, big	1683982	The adverb of the word \"Big\". Great sized, not huge, but definitely large.
	noughties, 2000s	883672	a cooler way of saying 2000s. it's that decade we're in now, you know, the one between the ''tens'' and the ''nineties''.
	sexy, that	2035446	1. An intangible attribute. You need not be model thin nor movie star gorgeous to be sexy. Sexy is the whole package, including that \"certain something\" that you can't quite put your finger on. Sexy may include the persons attitude, voice, attire and body language. 2. An unfortunate use of the word that certain rap thugs like to use to describe their \"aura\" and the vibe of their parties.
	doodles, diarrhea	5130408	Another word for 'diarrhea'.
1	trog, fuel	4468341	Another word for fuel, ie diesel, petrol, gas
	mongoon, cool	2576309	1. Fun to hang out with 2. Another word for cool, chill, tight, fantastic, awesome.
	indeedy, indeed	456313	Another way of saying indeed, but when one is in a very lighthearted mood.
	scooter!, psyche	5922738	(verb) Leading a person to believe that you agree and/or approve of their words and/or actions.This is very common amongst school age children and adults who refuse to accept that they are no longer children. The act is as follows: Agree with the victim and then make a gesture as if you will \"high-five\" them. Next, avoid their hand and make a gesture as if you're riding a scooter (motorcycle or bicycle). Lastly, yell out very loudly \"SCOOTER\" and embarrass your friends until they threaten to stop talking to you. Be very careful, they may begin to SCOOTER you! Pass it on. It's FUN!A variation of the word PSYCHE!
