label	pair	defid	definition
	metallica, awesome	5204118	A synonym for the word \"awesome.\"
	swagfag, swag	7081196	A person who gets their dressing inspiration from god forbidden rappers like Lil wayne, 2 chainz, Drake, & the list goes on. They think these rappers are intelligent & can dress themselves. When in all reality, they all like stupid as fuck.Swagfags go around blasting Lil wayne in their cars, iphones, computers, everywhere. & you'll know its Lil wayne when you hear sirens & the word \"nigga\" 100,000 times in a row.The typical Swagfag wardrobe consists of snap backs, skinny jeans - that they sag to their knees, shoes that match their outfit, & tee-shirts that say the word \"swag\" over and over. Because they have to let the whole world know that they have swag by wearing the god damn word on their clothes. They also say \"swagggg\", \"yolo\", & \"ratchet\" every 5 seconds, & when they type they use q's for g's, i's for y's, & a few more. (example- cant touch miii swaqqqqqqqqqq)We should use Swagfags to test new products instead of innocent animals. These are creatures that need to be forbidden & removed from this earth.
	deer, nigger	4161334	common misconception for the word \"nigger\"
	fre', cigarette	3073050	pronounced \"fray\" shortened version of \"freshman mafia\", another word for cigarette. family meanings: frshman (fre'): cigarette sophomore (sopha): gold & mild junior (jr mob): black & mild senior (scene): cigar
1	eltse, else	7722886	the improper pronunciation of the word \"else\". compare to \"altso\" for the word \"also\"
	kori, thus	1973153	noun - (pronounced ko ree)perfect; perfection in every sense of the word thus more complicated than life itself
0	darry, darrylick	3915981	a derrivitive of the word \"darrylick\" which means a stupid person. aka a idiot.
	pountiownis, bitch	8356361	A very powerful version of the word \"bitch\". This is a swear used in very intense arguments and descriptions
	ginnie, really	3399191	1. Noun - referring to genetically predisposed failures with large foreheads who have an irrational fear (phobia) of coherent language. Patients with this disease generally find security through lewd sexual intercourse with objects which resemble giant phalluses. 2. Verb - a spasm induced similar to that of an epilepsy, which is induced by an attempt of an autistic brain to process anything beyond 1 + 1 = 2; this type of spasm is characterized by repetition of the word \"really\", following rapid arm-flailing and the release of hormones, which further fuel rapid forehead growth, symptomatic of the disease described in definition 1. 3. Adverb - to dirty sanchez. 4. Adjective - an intrinsic quality of an extremely receding hairline, offset with repeated daily hair implants.
	contransmagnificandjewbangtantiality, indicate	6112765	A word invented by James Joyce and used in his Ulysses. The word may be broken into parts to better understand its meaning:con-trans-magnific-and-jew-bang-tantialityThe \"-tantiality\" is just a suffix for \"con-\" and \"trans-\". The \"con-\" refers to consubstantiation, the belief in Catholic theology that the father, the son and the holy spirit are all of the same substance but each presents in a different form. The \"-trans-\" refers to transubstantiation, the belief in Catholic theology that during communion the bread and wine literally become the body and blood of christ; the mundane is transformed into the divine. These two first parts of the word indicate that the word has to do with the intersection between the divine (god) and the mundane (humanity), or christ. The \"magnific\" refers to the magnificent, the divine. The \"-and-\" simply refers to the word \"and\" and the \"-jew-\" refers to a Jew, specifically Mary. The \"-bang-\" is where things get tricky and we see a bit of Joyce's (slightly blasphemous) humour: in one sense, \"-bang-\" refers to a collision between the divine and Mary (christ). It also refers to sex; Mary is impregnated by the divine and out of this tryst christ is born. Joyce intentionally juxtaposes sexuality and the virgin because he both believes that all human activities are beautiful and deserve to be represented in literature and because, in order for christ to have a human mother and a divine father, he must have blood from both.
	poss, positive	1939548	Cool, Chill, Rad, Dope, Awsome... Short for the word \"Positive\"
	maen, mine	887014	a word used by bad spellers in place of the word mine
	looooool, something	8416193	Typical way of saying something is funnier then lol. Like when riding on a scooter
	sibbar, sister	5591452	Sibbar can be used in the place of the word \"sister.\" It means the same, only it's 10x more fun to say. Especially if you say it with an annoyingly long \"a\" sound.
	shiv, poop	2093377	noun: another word for poop, crap, feces; an exclamation for something unusual, wondrous, or craptatious.
	fost, crazy	8331348	another word for crazy awesome
	aniki, bro	6067863	another word for bro as seen in a webcomic about an anime frat
	chellious, bein	3757290	another word for bein jealous of a chelsea!
1	cornder, corner	4160579	An incorrect pronunciation of the word 'corner', usually used by poorly educated African Americans from the Central City ghetto of downtown New Orleans, it has expanded in use to almost all AA communities in the New Orleans area.
	luvbubbs, bubbles	3711391	The warm feeling of loving someone when it's way too early to acknowledge it, even to yourself. Used in a context where you might be made fun of by your friends for being a pussy, so you try and soften the blow. From the slang \"luv\", and an abbreviation of the word \"bubbles\".
	f.u.g, fuck	3866219	Acronym for Fat Ugly Goat (or Fat Ugly Girl). A General insult, usually used against females, that can also somehow be used as a replacement for the word \"fuck\" in the phrase \"fuck you\" (althought the mechanics of it dont quite work) Also can be used to replace \"bitch\"
	slus, women	1249148	Another word for women derived from the word Slut, instead of being simply a hore, a \"Slus\" is more conservative and attractive. While not slutty the \"Slus\" has a good time and is always welcomed at parties. Because most women dont know the word \"Slus\" its ok to speak around them. Plural is also \"Slus\".
	bimbet, bimbo	1624216	Another word for bimbo. A small attractive young woman or man that lacks brains.
	aksed, asked	3641041	common mispronunciation of the word asked
	metro, subway	1286309	1. the montreal way of saying subway, as in public transportation 2. a grocery store
	baker, creeper	5103263	verb. when a person either adds, comments on a status or picture of someone they have no idea who they are on Facebook. This is often a synonym for the word \"creeper\".noun. A picture of someone, normally fat, who takes a picture of them self with their webcam trying to look huge when they clearly aren't in real life.
	knab, noob	4154148	1. A knab is the past tense of of knub, which is a nub with a silent K added - which is a bastardization of the word nOOb, which in turn was derived from the word newbie which means one who is inept at one or many things.Often a Knab is associated with wee little lads who enjoy bland foods without sauce. They also have a distinct aversion for triscuits. Their favorite hobbies are poker, street fighter 4, and often just knabbing around with their knabmigos.
	swy, sorry	2977426	short for sowwy, which is another word for sorry(which can also be used as sry). mostly used in text messaging.
	vaytion, starvation	20834	Shortened form of the word \"starvation.\" Most often said when one is expressing extreme hunger. -vayt -vayting -vayter
	cormier, elbow	4903154	another word for elbow,
	skunch, bunk	290455	1. A type of canned food popularized by Mission Hill. 2. Junk, bullshit 3. Replacement for the word \"bunk\"
	wat, what	102344	A variation of the word \"what\". The word what is purposely misspelt to show dyslexia and stupidity. It can also be used as a lazy form of the word \"what\".
	wat, what	3877884	Another way of saying what on message boards. Similar to wut
	frijjle, fridge	3773211	note: pronounced in all definitions like a combination of fridge and nipple 1) a male farm worker (usually of Mexican or mestizo descent) who commonly wears a large sombrero for shade and in some cases has a very a thick mustache; in this definition it can be capitalized as Frijjle 2) someone who is skilled at making beans 3) a person of Latino or mestizo descent 4) a hoopy way of saying fridge; can also be said the long way as refrijjlerator
	disretard, disregard	4229437	A modification of the word \"disregard\" which signifies that the reason people should disregard something is tied to retardation.
	grit, cum	7757457	To cum To ejaculate semenORcum (noun for semen or orgasm)Originated in Montgomery County in the DMVJust a fun, more original way of saying \"cum\"
	idiotic, stupid	1834122	Turning the word idiot from a noun to an adjective. more fun way of saying stupid
	idiotic, stupid	1845023	Turning the word idiot from a noun to an adjective. more fun way of saying stupid
	cha, charlie	1732264	Shortened form of the word Charlie referring to cocaine.
	kong, penis	378487	a slang word for the word penis. Mainly used in front of teachers so the teacher doesn't know what you're talking about. see; penis, dong, cock, penis, wang
1	flow, money	4844251	Another word for money.
1	flow, money	828644	another word for money or dough
	rise, hello	5620909	a beautiful girl that dosent care what other people think of her, she is not afriad to do something embarassing in front of strangers to people she loves and are verry close to her. she has tones of friends and wont let alot of things get her down. she is verry rarely single but when she is and someone breaks her heart she is sad. but the next day she will realize its okay to be single. she will not lie and is verry random. if you ever find a rise keep her close and dont get scared if shes random and loud, its her way of saying hello. if you ever piss her of she will (as she does often) tell you to go read a book, preferably her book!
	stoneth, stoned	12786554	A variation of the word stoned, used to express the feeling of being very high.Adam : That was an absolute fathead that we just smokedTom: Yeah I feel pretty stoneth right now
1	petifile, pedophile	458993	Mispelling of the word PEDOPHILE.
	slawshed, sloshed	2430880	variant of the word Sloshed sloshed drunk
	geeja, geezer	2793912	A derivitive form of the word \"geezer\" used to describe males in a typical way. Used heavily by students at a certain grammar school because of one individual. This is also true for boie- a way of describing people of any gender. Copy cat forms of the words includ- geejaboie, geeeeeeeeeeeejaaaaaa,, boieeeeeeeeeeeeeeeeeeee,
	branned, cunt	3567693	1. Completely and utterly retarded 2. Severely fucked up 3. A stronger way of saying 'cunt'
	corn, cornhole	832351	A shortened version of the word cornhole
	orientated, oriented	1617254	The illiterate way to say \"oriented.\" While technically a word, you sound like a moron when you say it.
	muhfucka, motherfucker	1218123	the funniest way to say motherfucker
	yoh, yo	3435588	If i were to discribe it. Another way of saying yo, but much cooler, and more 90's rap kind of way to say it too. I said it one day, and now it's practically my catchphrase!
	viscous, vicious	3681192	(Visc-wuss) It is a different pronunciation of the word vicious, when something is particularly vicious you say (visc-wuss) to emphasize it
	dolt, dork	2875267	A retard, who laughs kinda stupid, or makes common mistakes upon acting. Also can screw up while doing simple tasks. Another word for \"Dork\", or \"doink\".
	ahhsome, awesome	2009834	A more enthusiastic way to say \"awesome\".
	schmades, goodbye	2721967	An informal way to say goodbye.
	tfosiliciousness, tfos	2780921	You enter a state of TFoSiliciousness when you embark on the jorney to balance your inner landscape, and becoming a TFoS, thus escaping the void of Mainustureemu. This cannot be taught by anyone, you must figure out how to acend to this state by your own, for the jorney is never the same for two people. Leading TFoS, however, agree that all jorneys to reach TFoSiliciousness must start by understanding of the true meaning of the word TFoS.
