label	pair	defid	definition
1	upsurd, absurd	1343580	|337 speak for the word \"Absurd\". It is used in instances of exaggerated \"absurdness\". As in the level of unbelievability is so high that you become delerious and the only way to convey this emotion is to use the elite spelling of absurd (which is, of course UPsurd). --Upserd may also be substituted.
1	leet, elite	1436924	Leet is another word for 'Elite' often used by hackers. It could be used in numbers like 1337 My version of leet is a verb meaning cool, spiffy, or wicked and is a mix between sweet and llama.
1	leet, elite	369366	Abreviated form of the word \"elite\" often used in chatrooms and message boards; though mainstream popularized by the game Quake, where the l337 routinely fragged the hell out of lamers (unLee7 web-vermin). The \"language\", as it were, is generally characterized by the phonetic misspelling of words and replacement of various letters with numbers and symbols.
1	leet, elite	1350927	1. Shortened form of the word \"elite\". Can have a negative connotation if in reference to someone who is haughty and snobbish or can have a positive connotation referring to someone who is the best at something. 2. Typing dialect, using numbers for letters or other such variant.
1	yeekay, okay	4460818	a way to say 'okay' with more enthusiasm and excitement than the typical boring 'okay'. more E's can be added to the 'yee' to show more excitement.
1	satchin, faggot	8273445	A common alternative term for the word faggot a lesbian who is hairy An indian who likes to get freaky
1	clamage, gay	3060782	An alternative way of saying gay.
1	wain't, wait	5474905	the Box Butte County Nebraska redneck version of the word \"wait\"
1	iite, alright	2383166	short for the word \"alright\". used by members of the band therapeofnanking. this word is often repeated two or three times. when pronouncing it, don't move your mouth. its a whine type of sound.
1	ghezetto, ghetto	130849	the ghetto way of saying ghetto
	hemeloid, haemorrhoid	803057	A citizen from Hemel Hempstead. A pun of the word haemorrhoid as people from Hemel are generally just as intelligent, ugly and irritating as a bunch of anal grapes.
1	shisternoodle, shit	3299732	basically just an anoying way of saying shit.
1	hebs, hebrew	2772986	Short for the word hebrew
	yahallo, phrase	12370711	A word or phrase that represents or is representing the phrase, hello; an altered version of the word phrase hello In order to greet another individual
1	fanfuckingtastic, fantastic	1929680	A bastardization of the word \"fantastic\" with the word \"fuck\" added in for intensification. It originated from the commonly used phrase \"fucking fantastic\" and was scrunched down into one word for simplicity. Other similar words are \"Infuckingcredible\" and \"Unfuckingbelievable\"
1	clunge, vagina	4083686	The typical homosexual way of saying vagina, no one straight uses this. Seriously, when's the last time you heard someone say \"I'm going to take the clunge\"? Or \"I'm going to plunge the hell out of that clunge?\"It sounds more like some sort of product you'd see at 1 in the morning than something you'd use an awkward sexual advance.tl;dr a typical British word for vagina
1	neee, no	11612014	Another word for \"no\" or \"nope\" (exc)
