label	pair	defid	definition
1	cerk, penis	11523836	Another word for Penis.
	brooke, a	7088811	Usually a very unusual girl. Her favorite things to do is fuck any guy she sees. She lies all the time and boys still go after her. Her body was sculpted by a goddess. She can be very crazy. If your a guy and you see Brooke run away before she infects you. Another word for a Brooke is slut, whore, cunt, ex.....
1	juut, cunt	5531025	An affectionate & less abrasive term for the use of the word cunt.
1	cherub, cunt	11492832	Cherub, to be used as a secret replacement for the word cunt on social media. When one has friends, family and colleagues on the same social media platform/s as their closet friends, to whom cunt is used frequently as punctuation or as a term of endearment, you replace cunt with cherub as not to offend anyone, but those closest to you know exactly what you mean.
1	shaboinka, penis	2903606	Another word for penis
	bfwad, it	3050678	best friends without a doubt A BFWAD is someone who no matter what happens between you guys, you will always be best friends. Similar to a true friend, but a different way of saying it.
	recoer, a	12194726	Another word for a micro penis
1	snezzing, sneezing	2539183	A far cooler way of saying Sneezing, it also has the added bonus of sounding slightly dirty with just a hint of sexual inuendo.
1	ragtish, bullshitderives	7358166	Another word for bullshitDerives from the native bull named the Rag in Southern Argentina.Tish is another word for shit in latin.Popular in Central England, commonly used by members of the 2 2's gang based in Wolverhampton.
1	scheisse, crap	1288865	Shit. Shite. Merde. The \"S\" word. The other word for \"Crap\" scheisse is the German word for it. Also known as Shyste
	houlo, a	1820685	another word for a dime or someone who's rediculously good looking
	streef, the	5752708	n. The shorthand way of saying the video game, Street Fighter.v. To play Street Fighter.
	tinderbox, is	827403	the literal meaning of the word is a \"box for holding tinder\", tinder being something combustible you use to start a fire. A tinderbox can also be a potentially dangerous situation or location. The proper usage of the term is as an insult that sarcastically implies that somebody is 'fake tough'.
	cunke, cunt	11602186	whatever randy wants it to mean.another word for cunt or twat.a loser.
	refudiate, is	5106624	v. to reject with denialA portmanteau of repudiate and refuse, famously coined by conservative commentator, Vice Presidential candidate, and drop-out Alaska Governor Sarah Palin.An earlier instance of the word is found in the June 25, 2010 New York Times article, \"When Capitalism Meets Cannabis\". Here, journalist David Segal, quoted a legal marijuana seller. The quote demonstrated a common expressive dysfunction among these people, who would neologize in a chronic marijuana haze.Sarah Palin's innate cognitive disabilities allowed her to independently coin the term on the July 14, 2010 Fox News show, Hannity.Sarah Palin used the neologism again in a post to her Twitter account on July 18, 2010. After she was educated by her audience, she deleted the offending post and attempted a correction with two more posts containing the words, \"refute\" and \"reject\". As way of explanation, she compared herself, as a wordsmith, to Shakespeare and asked readers to celebrate her mistakes.
	wizard, a	6448358	boner, morning wood, or when u get a hard on from when you need to pee really bad. (another word for a hard on and its not MAGICAL WIZARD just wizard)
1	lards, large	1242579	The Filipino way to say large
	blabbergaster, a	6128055	Another word for a dumbass, or a dufus, or a shithead. Generally used as a negative term, towards someone whom someone doesn't like.
	numblutz, someone	4955325	email-safe way to say someone is a 'numb nuts'
	webutante, web	2603293	A combination of the word web (as in the world wide web) and debutante. Closely related to celebutante.
	honeyfuckle, amazing	5970547	Noun. A cooler word for bitch, douche, dick, pussy,... etc...A universal curse word.Verb.(Honeyfuck) Another word for Amazing SexAka this word is the bomb
1	ossum, awesome	6615206	See awesome for the definition.North American pronounciation of the word awesome, following the texting style of spelling words as they sound.
1	ossum, awesome	884190	new spelling of the word \"awesome\" to seperate the different meanings. Ossum meaning \"cool\" and awesome meaning \"filling one with awe\" or sim.
1	momenty, moment	1221468	Bastardization of the word moment. Used in the context of something the speaker would like to do, as opposed to moment which often implies effort.
1	roofener, awesome	2094891	Another word for awesome, or rad. Normally used in a positive situation.
1	cun, cunt	11847992	Cun a abbreviation of the word cunt. Cunt a Derogatory or mean term for a woman
1	cun, cunt	11683474	To wish to, or to fully engage in a sexual act of some sort, but the term 'Cun' now is typically used to imply consensually sharing naked images back and forth from someone you're attracted to over Snapchat. An evolution of phone sex. Derives from the word 'Cunilingus', one of the more taboo sex acts. Is usually used alongside the word 'finna' meaning 'fixing to' or 'wanting to' (i.e, \"I'm finna cun that girl\"). Easily mistaken for the word 'cunt'. 'Cunning' someone refers to engaging in a sexually act, or silliciting raunchy images from another.
1	cun, cunt	1757430	1. Another shortened form of the word cunt 2. really fat
1	cun, cunt	2079800	Informal variation of the word cunt. Used in a more casual but mocking sense, similar to the term \"hon\" for honey.
1	cun, cunt	11847996	Cun a abbreviation of the word cunt. Cunt a Derogatory or mean term for a woman
1	bret, bro	12583333	How real hoodlums say the word \"bro\" in Spartanburg SC.
1	verizons, dsl	3532134	Another word for DSL. Used to describe a woman with dick sucking lips.
1	wordicus, word	4391902	Roman way of saying word.
1	loomine, book	6331631	A new word I made up. It is another word for \"Book\".
	eskonka, a	2475578	"span\glish 1.a funny way of saying a \"sluty prick\" 2.a nicer way of saying \"hoodrat\" 3.a hoe"
1	mistyester., dick	10873909	Another word for dick.
1	appsolutely, absolutely	4567524	APPsolutely is the digital way to say Absolutely. The mobile way to say absolutely.
	heke, heck	1064180	Heke is another way of saying Heck ya! Created by Asian posers tryin to be \"gangsta\" But originally taken by the white folk and turned into there \"gangster\"
1	vanini, pussy	2612904	another word for pussy he who gets pussy
1	update-a-roony, update	1996366	A snazzy way of saying \"update\" (noun)
1	mugf, yeah	4372897	An expressive way of saying yeah, said to show a relaxed state of being. The word can be used in any relaxed atmosphere, and is always used to agree with someone's idea or behavior. It should never be used in anger, only to be used when it is said relaxed and calm.
1	vetti, veteran	12238218	Vetti is a short form for the word veteran. It can be used in places instead of veteran for slang sentences.
1	chingado, shit	1431619	spanish for the word \"shit\"
1	smigity, sex	2950249	another word for sex or id hit it
1	grassyass, gracias	767375	the english way to say \"gracias\" which is spanish for thank you
	bert, a	5166637	another word for a cigarette. hence the filter part of a cigarette looks like bert's head from bert and ernie
1	lulsy, lols	5281923	Adjective, meaning very funny.Comes from the word luls, which is in turn a pronunciation-based derivation of the word lols, or lol (laugh out loud).
1	lulsy, lols	5281926	Adjective, meaning very funny.Comes from the word luls, which is in turn a pronunciation-based derivation of the word lols, or lol (laugh out loud).
	wotd, of	3300003	A game urbandictionary editors play to see how stupid of a word they can possibly use for the Word Of The Day.
	knockerpods, big	951844	Another word for BIG breasts
	swammi, gun	3427723	another word for gun or firearm. originated in new york city.
1	swag, cool	6773064	the word SWAG is just a newer word for cool which was made famous by rapper soulja boy although some people say it means differennt things secretly we are gay something we all got something we asains got soulja with all gold etc as of lately theres roomers secretly we are gay is the official meaning mostly by people who dont have it cause the word is often spelled with 2 g's which would cancel out those meanigs so with it S.W.A.G.G iSay it has no meaning its just another word for cool many people say the word is over used and old but it is still used swagg went from a word to a movement so now its it's owne music genre with artists such as soulja boy tyler the creator lil b asap rocky etc yu may hear the word swagg used often by rappers like 2chainz lil wayne t.i. and you will hear it by teenagers or young adults but as of recent words like steeze meaning cool and sushi which is like raw used by rappers from ocean gang and other artists but those words have not came in just yet and soulja boy has used the word many times in the song P.A.P.E.Rbut back to swagg this post was to say people who say swagg dont be scared to say it cause people who have no style say it means your gay it means what ever you make it as far as tight jeans or loose shirts every1 has they're own swagg never let anybody change you or what you say never make decisions cause other people do what you believe in and stay true to yourself
1	gnive, nice	3714879	A variation of the word \"nice\", pronounced with a soft g. NIIIIVEEEE.
1	wormface, dickhead	3926687	A wormface is another word for Dickhead, it is a small penis on your head
1	kunsty, artsy	8401519	The more cultured and alternative way of saying artsy without having to sound like a valley girl. Derivative of the German word Kunst. Typically used by young angsty teens in Berlin, then passed on to the hip community and now widely used by cynical hipsters and Young travelers. Often heard in world renowned museums or warehouse galleries.
1	smuv, love	5079783	another word for Love
	bi-each, bitch	12387326	When you start saying the word \"bitch\" when you were supposed to or trying to say \"beach\" Usually the person stutters or holds the syllable in an awkward way after noticing the mistake. Sometimes the person says more letters of the word \"bitch\" before correcting the phrase to \"beach\". Occasionally the person will say the part of the word \"beach\" louder after starting to say the word bitch or yell \"BEACH!\" after finishing a word like bi-each. Pronunciations include bitsheach, biteach, etc.
1	k, ak-47	1845447	1.stands for 1000 2.shortend way of saying \"AK-47\"
1	mofugs, motherfucker	6007696	Slang term for the word motherfucker. Shortening both words.
	profastinated, include	2821366	Delaying professional work of an important nature by doing other more mundane, yet professional work. Other forms of the word include profastination, profastinate.
	biever, justin	5342147	a cool way to say justin \"bieber\"
1	bubdee, buddy	12391647	Something you would call another person if they are acting stupid or just another way to say buddy but in a way to make people laugh.Can be used as an insult or just something you call a friend
	jankey, can	2757516	Jankey (JAY-N-KEE) Jankey can be used as any term pretty much.main definition cool.This word can also be used in phrases. Different segements of the word can also be used to describe the word.
1	yog, cum	963402	an other word for cum, after you have just climaxed
1	nooblet, noob	1883475	Another way of saying noob.
1	nooblet, noob	1643371	Just a new way of saying noob. For all of you who get tired of just saying plain noob or nub. Nooblet is a more entertaining word.
1	book, cool	2778053	1. substitute for the word cool 2. something enjoyable or interesting
1	book, cool	4107149	Awesome, enjoyable, fine, good. A substitute for the word \"cool\". Can be used in any situation when one is satisfied or content with the outcome of a situation. Can also be used to describe past situations. It is also applicable to any other instance that is not mentioned here.The word book can also be used in a phrase that connects it to the other definition of book, an article of reading.
1	book, cool	2478485	Another word for cool. Originates from using T9 Text messaging (something you use that automatically finds the most common word for the number combination you enter) and trying to say cool.
1	book, cool	5243705	Another word for cool, started from mistakenly sending the message book before hitting zero during the act of T-9 messaging.
0	book, cool	2095611	a synonym of the word cool. Due to \"T9\" text messaging. After numerous attempts to respond with the word cool, t9 always chooses book first. Resulting in a response such as \"thats book\" when meaning \"thats cool\". It sounds good so i started to adopt it in everyday speak, and it caught fire like a dry forest in california.
1	barney, poop	1218708	1.A giant Purple Dinosaur who waits until all the adults are gone and then secretly takes the kids and tells them how happy lif is and nothing goes wrong. He promises them they'll be happier with him. Little do the kids know that Barney is secretly keeping them from their parents and demanding money from them for the release of the children. They cry and plead if they too much he'll pop a cap in their ass. Meanwhile the kids smile sing while cleaning up all of Barney's shit and pretend they are better then they actually ever will be. Until all of it spirals down and they find out Barney's been using them and spending the money on cocaine. 2.Another word for Poop. 3.A hippy who likes sex drugs and beer. 4.Another word for penis.
1	barney, poop	1218703	1.A giant Purple Dinosaur who waits until all the adults are gone and then secretly takes the kids and tells them how happy lif is and nothing goes wrong. He promises them they'll be happier with him. Little do the kids know that Barney is secretly keeping them from their parents and demanding money from them for the release of the children. They cry and plead if they too much he'll pop a cap in their ass. Meanwhile the kids smile sing while cleaning up all of Barney's shit and pretend they are better then they actually ever will be. Until all of it spirals down and they find out Barney's been using them and spending the money on cocaine. 2.Another word for Poop. 3.A hippy who likes sex drugs and beer. 4.Another word for penis.
	doot, a	1123101	I first heard the word doot on the comedy show, Drawn Together. It's a very crude way of saying a piece of solid excretion..or a turd.
1	goog, gag	2149202	a more pleasant way to say gag
1	shnoogie, booger	1563819	A more kid friendly way of saying booger. Can also be used as shnoog.
	experimental, it	4978193	Another way of saying it sucks.
