label	pair	defid	definition
	chid, dunce	8673594	Basically is another word for dunce.Origin: when you try to say child but accidentally say kid and it comes out chid.
	yawb, yawn	1501694	An advanced form of the word yawn. Usually depicts extreme boredom. Usually only used on irc.
	motorscoot, yes	12388830	another word for yes, typically used when annoyed or answering a question you don't want to answer. A way to keep them guessing.
	rekasekaneka, hello	10497845	This is a greeting or a way to say hello
	formular, formula	2688334	A completely wrong way of saying \"formula\". Some jew rats from New Jersey are incapable of saying \"formula\", so they add an -r, creating formular.
	maa'fuckin, mother	5330061	maa'fuckin is the correct pronunciation for the word mother fucker
	fukcer, from	1129443	A derogatory remark similar to the word from which it is derived, but implying a homosexual manner.
	drift, ricer	1371910	it would seem that most people trying to define the term drift here are either people who look at drifting in somewhat of a negative view, or people who think they know all about drifting because they watch initial D alot.It would also seem that all,if not most of these people are americans. take it from someone who knows drifting, not because it's popular in their country,and not because they have seen it on a cool looking cartoon. drifting in australia is not very big, and that's the way we like it. i have drifted effectively,and i have also written off a car in the proccess of drifting once. from the over use of the word \"ricer\" i can tell that most of these people take drifting as somesort of an ego trip thing,and that drifting in america is quite big, thus making many people think they are down because they go to the battles and watch the cartoons.try it for real and see how you go. DRIFTING IS: The art of driving a car sideways through a corner whilst maintaining effective wheelspin. it started underground.keep it that way.
	tatamoons, tampon	4362301	Another word for tampon. When not wanting others to know what you're talking about, use tatamoons instead.
	bagina, vagina	292797	a bad ass way of saying 'vagina'
	peehaust, piss	2314532	The act of being extremely intoxicated. Other word for piss drunk.
	cuck, cuckold	10583012	A shortened form of the word \"cuckold,\" (i.e., the husband/boyfriend of an adulteress/cheating girlfriend) often used by neo-nazis
	cuck, cuckold	10408942	A popular shortening of the word cuckold which describes a fey, effeminate, weak wristed man that has had his balls figuratively (or literally) clipped by constant association with radical feminists.
	tiggity, tite	3361420	often used when you are angry with something or someone; another word for tite.
	goonanny, a	3787541	Pronounced goonawnee, another word for a vagina.
	arbiscartuary, ironic	4027606	The misuse of the word ironic
	ugaf, ugly	11509666	A combination of the word ugly (\"ug\") and as fuck (\"af\") Someone who is ugaf is more than ugly, he/she is appauling
	obomination, abomination	3979917	A combination of the word \"abomination\" and the name \"Obama\". Used to describe any dogpile produced by this particular president.
	lakenskrekk, that	8201290	The word lakenskrekk is a norwegian way of saying that you don't want to go to bed yet. It's better to party all night long!
	bombigna, coochina	3685191	the T9 version of the word \"coochina\" when you're texting it to your best friend.
	eccentric, you	10017105	A polite way of saying you're a fucking lunatic.
	florence, is	1908192	'Florence' is another word for a cigarette lighter of any description. The word is used mainly used by 11 to 15 year old kids that smoke and are trying to stop their parents from finding out. It is used as a code word to disguise the fact that the person talking may need a lighter. The origin of the word is unclear, but it is thought to have a connection to 'Florence Nightingale' who was famously known to carry a lit lantern with her.
	chad, nigger	11972120	A stereotypical white frat kid who doesn't understand why he can't say the word nigger.
	shruggles, shrug	4687089	A variation of the word \"shrug,\" connected to the word \"muggle\" (which means commoner), denoting indifference, surrender, and acceptance of defeat to what the user perceives as an everyday occurrence. The \"cutesy\" nature of the word further underscores the user's indifference, as does the plural suffix.
	sauce, no	2657938	A sarcastic way to say no. Simmilar to \"yeah, right\" or \"Oh really?\"
	duece, goodbye	316187	A way of saying goodbye or giving up on something
