label	pair	defid	definition
1	pwnny, pwn	2716554	Variant of the verb pwn, which means total domination of an opponent. This is used for someone who is pwned on a regular basis.
	hath, to	2581968	hath (has) Pronunciation:'hath, (h)&#601;th archaic present 3d singular of have v. archaic form of the verb to have (third person singular) archaic third person singular present of have. P.S.: These definitions are adopted and quoted from the \"BABYLON6\" dictionary..
	fack, the	1999208	A certain way of pronouncing the word \"fuck\". May be confused with the swedish word for locker. Has happened a few times :/
	geu, the	2565298	A typo of the word \"heh\", originated in a Finnish virtual modding IRC-channel.
	bril, the	2397308	Short for \"brilliant\". Mainly used on the internet when someone is too lazy to type out the entire word.
1	noid, nerd	5632038	The proper way of pronouncing \"nerd\" if you are a nerd.
1	vconras, congrats	1555971	the term \"vconras\" is still largely confined to the USENET newsgroup alt.fashion. it originated as a typo for \"congrats\" in an instant message session between two members, who decided it sounded much better than the boring and ubiquitous \"congrats.\"
1	mitel, mr	6146992	The bilingual (Spanish/English) way of pronouncing \"Mr.\" It can be either a good or bad adjective based on tone and use in a sentence. It has to be pronounced in the accent as well (Meeeeee-Tell)Female version: Meesy (Meeee-Seeee)
	hillary, obama	3165588	Verb 1. To fail to such a degree that you deserve to be ridiculed. 2. The antonym of the verb \"Obama\" which means to succeed/win or to completely obliterate.
	an, and	815113	shorter version of and.
	vietnamese, for	2751547	Literally, the \"barbarians of the South,\" the \"Viet\" (\"Yue\") (\"barbarians\") of \"Nam\" (\"south\"), the Chinese name that the Han Chinese gave to the rice growing people from the Red River (\"Song Hong\" -- literally, the \"Pink River\"), and that they now use to describe themselves in the Chinese language rather than the word for their ethnicity, Kinh. Connotes a group of border people south of China who have copied Chinese religions (Buddhism, Taoism, Confucianism), customs, technology, and lust for empire along with that from others (such as the Western alphabet and French and Russian colonial government systems) and whose sense of self comes mainly from their \"dirt-water\" geography (\"dat-nuoc\", usually mistranslated in English as \"country\"). Their survival strategy is to multiply quickly and use technologies that they copy or pirate from others and to spread over neighboring lands. They now rule over some 30 former displaced empires and cultures on their land including the artistic and innovative Khmer and Cham and are the 12th largest population group in the world but have invented little or nothing distinctive on their own. They prosper overseas due to an ability to copy and adapt and to live with low consumption.
1	hagaya, hahaha	8137862	When you are trying to type \"hahaha\" but your finger goes to far to the left of the H. Then you accidentally type it too many times and auto-correct changes \"hahaha\" to \"Hagaya\"
1	yaddida, yaddidamean	2446829	A shorter version of Yaddidamean, or Yaddidaidig meaning You know what I mean, or in response to a questions, Yes, I understand - or can be said in agreeance, like a second to the notion.
	kinuda, garuke	3682179	Kinuda; The present progressive or gerund form of the verb \"garuke\" meaning to rape, pillage, or otherwise obliterate an opponent See also \"Garuking\"
	cuchieplancheo, shit	6111658	1.)Spanish version of sex. 2.) Something to say when ur angry rather than the word shit or damn so you won't get in trouble.
	dullify, dull	4762112	An attempted conjugation of the verb Dull. Known to be used by television producers, in particular those who write scripts for commercials advertising spanish football, in an attempt to keep their audience on it's toes.
1	lamo, lmao	12884358	When something seems funny but high-key not.(A typo of lmao)
1	va, aller	1188053	A French cognation of the verb aller (to go). In essence it means go. Used to express...well, go.
	whazzuuup, what	5838730	A comedy catching Phrase used often to express the shorter version of 'What's up' in a crazier manner. The one says Whazzup, then the others react \"WHAZZUUUP!\" Used in 'The Annoying Orange: Hey banana' and 'Scary Movie 1'. Used in conversations, online and on the telephone as well.
	compershall, commercial	5801672	a mega typo for commercial
1	pawnage, the	1553133	This \"word\" is used occasionally by extreme n00bs. This is because it is not a word. N00bs tend to think that this word originated from the game of chess, and somehow compares the skills of the victim of this exclamation to those of a pawn. The word they are probably thinking of is pwnage (pone-ij or own-ij), which originated from a typo of the word owned, and has nothing to do with such n00bish hobbies as chess.
1	grendads, grenades	1311546	A typo of grenades. Most commonly used by people who can't spell and are total n00bs
1	manda, amanda	1962673	A shorter version of 'Amanda,' Mandas are typically very pretty girls who wear cute clothes and talk a lot about sex. They are much friendlier than Amandas.
	smotify, infinitive	5380888	Not to be mistaken as a future-tense optional form of the verb infinitive \"to smite\", to smotify means to destroy utterly with divine force. It originally comes from a misread bit of linux code: sm_notify_0.
	back, consists	2424449	verb. 1) to tell someone to \"chill\"; relax, fall back. 2) commonly used to shut down a stupid remark or completely end a conversation. 3) also used to completely shut down a stupid action another person does. 4) a more stronger form of the verb consists of a double back; i.e. \"BACK BACK!\". this phrase originated out of the vicinity of Mt. St. Joseph High School in historical Irvington, around the period of 06-07 school years. Its popularity has grown and continues to flourish amongst the Mt. St. Joseph Community and is begining to spread at a rapid paste. Although to term's weight itself is hard to grasp, one must take time as practice to completely master its effectiveness see corresponding examples from definitions...
	bangs, to	1825127	1) a style of haircut that lays hair on your forehead 2) plural of the verb to bang 3) in europe: pubes
1	fook, facebook	2741303	a shortened version of the verb facebook, i.e. to use the website facebook esp. in western North America
	dubbya, his	698389	Dubbya (or dubya...) refers to George W. Bush, as it is the Texan way of pronouncing his middle initial. Ironically, this nickname he has adopted was coined by the liberal political writer Molly Ivins.
	snorgle, as	2208108	Effectively a mispronunciation of the word 'snuggle' - usually used in order to indicate the object of the verb as something excessively cute.
1	pron, porn	2851873	a typo for porn but also used as a \"codename\" for at such places as: work, school, etc...
	vench, wench	243118	\"vench\" has the same meaning as \"wench\" but vench is to be used less than the word wench.
	ownage, own	813460	Ownage (n): 1. Noun form of the verb own. 2. An instance in which someone or something is owned.
	snozed, to	4360291	SnozedThe past tense of the verb to sneeze.Pronounced {snow-zed}
	wtfr, semi-drunk	2096559	wtfr is a abreviation for 'what the fucking rabbits' as in describing the 'wakiest possible thing to come around on your block' Known By Nik Tosh And Randy While Randy Being Totally Kick ass Nik and Tosh Made It Up WHile Trying To Type Semi-drunk
1	wft, wtf	770227	Well it could be a typo of 'wtf' = what the fuck, but i like to think of it meaning 'well fuck that' :D Made comical by the online flash cartoon 'the end of the world', when a meteor is about to hit earth, and decides not to, and is just like 'well fuck that'.
1	wivetes, whatever	4080637	Someone trying to type \"whatever\" on word who is high.
1	skibbies, underwear	1349547	it's short for underwear and its kooler than the word underwear!!!!
	lmae, the	4884587	Also spelled 'lmaee'. Pronounced \"Leh (or Luh) May\" Used to describe something that is both lame, ridiculous, and/or humorous.Originally a typo, it was realized that it could also stand in for a word. Lmae is a typo of the word lame, thus the lame half of it. Also, Lmae is spelled very similarly to Lmao (Laughing my ass off). Hence the other half of the definition. To be used casually, as very few are aware of this word.
