label	pair	defid	definition
	like-hole, like	3727502	An a-hole's overuse of the word 'like' while trying to express a thought.
	kungs, lol	11009915	1. The closest way to say lol in the Korean Language, however, it can also be used variously and can mean bitch, lmao, rip etc. etc.
	neocon, neo-nazi	2164773	Another word for neo-Nazi.
	un, unreal	7068235	short-form for the word unreal. often used in situations with the bruthers, ruthers, ruthys, rabbis and absolute ros.
	wank, masturbation	9643130	A wank...I'm sure you've done it before without even noticing. Wanking is another word for Masturbation.
	jams, beats	2092414	used as another word for beats, used by white males that listen to Jack Johnson and wear berkinstock sandals
	piggycake, something	4916998	Piggycake is something awesome or exciting. It's a fun way of saying something is new, cool, wonderful or playful.
	seeyuh, goodbye	11160378	The new way of saying goodbye. Often used in response to a roast.
	teletonken, telephone	4314618	The German way of saying telephone.
	geet, git	23098	Another word for Git.
	verp, shart	5916910	Similar to the word \"shart\", only this occurs when you burp and vomit in your mouth.
	crobbage, marijuana	3830855	another word for marijuana. when you have bud that's dank as fuck.
	goth, goth	3249072	Many definitions have been given that are accurate, but the meaning of the word 'Goth' is changing. For example in relation to 'Gothic' music, a lot of metal bands are now surfacing that are gothic-fusion or gothic inspired, and conform to some stereotypes of goth, but also do many different things in regards to sound or appearance.
1	durbunk, drunk	5980312	another word for drunk
	frigment, figment	9318630	The correct way of saying Figment.
1	dzu, yes	2725154	A very quick way of saying yes. Taken from the way Chinese language sounds to a non-Chinese speaker. Pronouned d'zu with the d and z fusing together.
	brosefanski, bro	4237206	Being of close brotherhood with another person, kind of like \"bro\" except with the endings -sef -han and -ski added. Stronger version of the word bro
	roofter, poof	5217789	Roofter, a more harsh way of saying poof, poofter or gay. Commonly used in the British expat community in Switzerland.
	shmeck, shit	1074539	Another Word for Shit used by Catholic School Children.
	harpo, oprah	3009310	1. The way to say oprah backwards when you're with friends who are embarrassed to watch it. 2. a painful little pimple in your ear
	deng, damn	1329914	Another way of saying 'damn'.
1	phraqchyre, fracture	521765	An alternate spelling of the word \"Fracture\"
	pshchea, yes	2593276	Pshchea is a cooler way of saying. Yes,Yep,Yup, Ect. It's a way of saying yes with a little sassiness on the side.
	gjovani, mother	10791968	Gjovani is a another word for 'mother'
	mic, microphone	1210880	An abv. term for the word microphone, commenly used in Instant Messaging, Chatrooms, etc.
	morely, more	5643443	To be more than something else, often used in place of the word 'more' to add a bit more variety to your otherwise poor attempt of copy/paste essay.
	jeob, f*ck	2219690	a. hot girl b. alternative use of the word f*ck
	jordyn, anal	4813960	A hooker, a bartender, or just a plain stripper. And for some people, Jordyn is another way to say anal.
	moy, mummy	1164089	The 'spide' vocal arrangment of the word 'mummy' slang of mother.
1	ploe, plow	5243425	Ploe is a form of the word \"plow\". Plow or Plowing is the act of sexual intercourse.
	warmthy, warmthy	2231462	The description of something that is usually described as warm. In the modern sense of things warmthy can more accurately describe things that are warm and friendly. An inviting connotation is made with the use of the word warmthy.
	cocky, cockatoo	1970550	1. Used to describe people who have an overly high oppinion of themselves. Usually overly self-confident and/or overly self-assertive. 2. Used to describe a farmer, usually running smaller scale farms. (Australian slang) 3. Commonly used shortening of the word \"Cockatoo\", a type of parrot.
	googz, google	2703834	The real cool way to say google. Like slang for google, noun. Basically the only cool way to say google. Must be spelled ending with a -z to be legit.
	nikon, nigger	3605065	another way of saying nigger around adults, or your drama teacher, or any other people.
	ossian, noob	6349201	Ossian is a synonym to the word noob. Someone who is utterly horrible at playing games.
	goot, gook	344966	An extended version of the word gook, referring to all Asians in general as opposed to how gook refers to Koreans alone.
	neroli, asshole	409998	another word for asshole
	fundilymundily, fundamental	8255668	A made up word used by Scottish Labour leaders when under pressure or lying to the public.A derivative of the word fundamental which can be used to best effect in conjunction with exploititoity zero hours contracts.
	twerk, twerk	7124535	It's a dance that involves a person making their booty bounce up and down by-way of shaking their hips in an up and down motion and casually adding gyrations and dropping to the floor.The first ever mention and use of the word Twerk and ideally where it created, was first used in New Orleans bounce rap songs. In New Orleans hiphop clubs Twerkers would sometimes hop on tables, grab the wall, flip upside down and shake and twerk right on men's crotches. Twerking was introduced into hip-hop culture by way of the New Orleans bounce music scene.In 1993 DJ Jubilee recorded the dance tune \"Do The Jubilee All\" in which he chanted, \"Twerk baby, twerk baby, twerk, twerk, twerk.\" The video for the song increased the popularity of twerking.Then several other bounce and local rappers began using this phrase to call upon \"Twerkers\" such as local New Orleans rapper 2Sweet, Cheeky Black, Partners N Crime when the NOLA (New Orleans, LA) bounce was mostly a Gulf Region underground hiphop clubs. It then became popular in clubs again in 2000 when Atlanta Rappers Ying Yang Twins in 2000 released Whistle While You Twurk. in 2011 Atlanta rapper Waka Flocka dropped the word in his popular song \"Round of Applause\" ft Drake when he mentioned \"Twerk Team\". Bandz A Make Her Dance by Memphis, TN rapper Juicy J has a lyric, \"Start twerking when she hear her song\", while Bronx, NY rapper French Montana ask \"What you twerkin' with\" in his song \"Pop That\".
