	maritujuana, marijuana	280390  Mr. Mackey's way of saying marijuana.
	clincus, a	884846  another word for a crusty ringhole or mankey brown smeg
	laxout, relax	3270871  A contraction of the word 'relax' and the term 'chill out'.
	manzella, shot	883293  1. one who masturbates too much.(exceding seven times daily) 2. another word for \"shot\" 3. master of the art know as lubing. 4. person concerned with the size of other males penis and genitals. 5. Prada, Gucci, Fendi, everything $425
	gueeze, road-dog	6988928  This word originated in southern California in the early 2000's. A Gueeze is A close companion with whom a majority of your time is spent, the relationship could be completely platonic or romantic. one cannot simply refer to a new friend as gueeze, it its a title earned by loyalty and trust and it takes time. A gueeze is another word for road-dog.
	american, american	4948993  A citizen of a country in which \"freedom\" has been stressed to too much of an extent for far too long.Yes, the word \"American\" unfortunately is commonly correctly defined as \"an ignorant, bigoted, gluttonous prick\".Those Americans who have exploited the word \"freedom\" are an embarrassment to say the least. I'm an American and I must say I'm humiliated on a day-to-day basis by my fellow citizens' ignorance, but to those of you who are reading this as a non-American citizen, please know we're not all the same.Anyone who is well educated in world history, however, surely knows of mistakes made by nations in the past. The United States is still a young nation and therefore still exhibits the ignorance that older countries have already learned from.When you think of the word \"American\" try to remember that while most Americans exploit the word \"freedom\" many of them acknowledge the word \"accountability\".Fellow Americans: We can change these problems. Humble Yourselves!
	biatch, a	1263103  just another word for a skanky ho
	geeay, gay	1202230  comes from chino, cali it's the mexican way of saying gay
	wonk, is	5189784  An incredibly stupid ass name that American University in Washington, DC decided to waste millions of dollars trademarking. The true definition of the word is unknown. It is also unknown whether it is an acronym or an actual word. Overall, American University wasted their money trademarking a word their own students don't know the meaning to.
	youbetyourfletcher, i	12163200  Another way of saying i will do something
	bilbo, dildo	1075102  Used for the word dildo but only ever used by gays or prudes, but never hardcore lezzes as they have shaved heads and GI in front of their name, therefore obviously not a virgin. They are also confused with German Women
	commie, communist	1774265  A shorter version of the word 'communist'. It is typically used to deride a Democrat or liberal.
	vunerable, vulnerable	4433971  The misspelling of the word Vulnerable.
	goyl, goyl	758939  1) an interesting way to say goyl
	direar, diarrhea	3789888  n. 1. direar (die-rear) - A common Southern mispronunciation of the word \"diarrhea\", often heard in towns with fewer than 20,000 citizens, or from citizens with fewer than 6 teeth. slang. 2. A humorous and intentional mispronunciation of the word \"diarrhea\" by sarcastic, college-educated, middle-class individuals simply for the amusement of their wiseass peers. n. 3. An alternate spelling for \"diarrhea\", a word in which even the most studious cannot spell when put on the spot.
	chellious, bein	3757290  another word for bein jealous of a chelsea!
	douche, fag	6101113  somebody who thinks commenting a link to wikipedia for the word fag is funny.
	durbunk, drunk	5980312  another word for drunk
	chewing, oral	391258  another word for oral sex
	wikkid, wicked	2169971  1. wikkid - (adjective)- Slang: a misspelling of the word 'wicked' which is slang for 'awesome', 'cool', or any word or phrase that expresses something being impressive, awe-inspiring, remarkable, incredible, outstanding or exciting, the best, the shit, the bomb, etc. This definition has been around since the 50's or more. Can also mean fun, funny, sexy, hardcore, chill, non-chalant, laid-back. The New England slang of the word only defines an adverb that express the degree of the word or phrase. Such as: very, really, well, so, hella, totally (so awesome, very cool, hella crazy, totally awe-insipring, fuckin' nuts/crazy). This definition actually denotes both adverb and adjective, as in the previous examples. Wikkid can express an extreme degree, usually indicated by the excitement in the vocal emphasis and volume. \"Yeah, that's wikkid.\" (That's cool.) or \"CHECK THAT OUT! THAT IS WIKKID!\" (CHECK THAT OUT! THAT IS FUCKIN' AWESOME!\" ~Anyone who votes 'Thumbs down' for this definition is seriously confused.~ 2. wikkid - a person who's personality, demeanor and presence are made up of all the following qualities: Non-chalant, cool, extraordinary, awe-inspiring, amazing, intense, brilliant, sweet, funny, sexy/beautiful/hot and crazy (in a fun, exciting way). 3. Wikkid - This is also my infamous nickname among friends and women which describes my personality (see definition 2.) and the impact I have on people. I'm Wikkid and anyone who doesn't think so is sadly mistaken.
	kassaundra, someone	6192061  She is so beautiful and amazing. She can definitely make any guy smile, she also has a passion for dancing. Very unique, any guy would be extremely lucky to be with her. She is spontaneous and gorgeous. Kassaundra is another word for someone who is amazingKick assIncredibleSpectactularAwesomewith out a doubt the most beautiful girl on the face of the earthAnd she is the best girlfriend a guy could ask forif I were to go on about how awesome this girl isit would take foreverSo in short a Kassaundra would be the girl you are in total love with
	bizzy, busy	289601  Another word for Busy used by People who want to act kew or need a word to rhyme with
	deece, decent	"7178381                                         Shortened version of the word \"decent\". Created by Raheem Sterling and given personally to Stephen Kavanagh to spread onto others.
 8022825                                                                          Short and sweet way of saying 'decent' when describing something amazing/ cool/ great/ incredible
12723901  1. An abbreviation of the word \"decent\"2. A further abbreviation of D.C. which is, in itself, an abbreviation of \"dumb c*nt\" (which is a term used casually in Australia)"
	rainve, faggot	2831823  Another word for \"faggot\" often used during large tea partys.
	brock, asshole	5927238  brock is just another word for asshole. brocks usually have a small dick. they dont know how to treat a girl right. they most likely will cheat and lie to their girlfriends all the time! you do not want to be with a brock. they break girls hearts and just dont even care. sometimes they'll break a girls heart and then hate them for no reason at all, and make the girls life a living hell. brock isnt that good of a friend either. sorry to say, but you dont want a brock in your life.
	oscillating, awesome	950754  a substitute for the word awesome. Used out of necessity when the elderly and reality television stars were taking all of our affirmative adjectives.
	brozen, bro	2646466  another word for bro
	tronaut, some	3890505  A clever way of saying some one is an \"ass\" Astronaut without the ass. Using the other half of the word to insinuate some one is or is being an \"ass\".
	littaz, litty	12785149  It's the Canadian way of saying Litty or lit.. It's apparently necessary for them to add a Z to the end of every word.
	freagin, fucking	557638  another word for \"fucking\"
	agen, again	4461140  A commonly misspelled version of the word \"again\"
	awkskward, awkward	6245348  -a cool way of saying awkward -comes from the sub-words of awks and kward -created by a genius named Grace -amazing!! -use it all the time!! -based in Toronto
	saucy, that	1368006  foxy, kinky, another word for that!
	humpadump, are	6379230  The word is a universal applicable word. This means that the word can be used to replace any other word or phrase. To understand the actually meaning one must know the context of usage.Background: although the origins of the word are unknown, it is rumored to have come from the coolest college student ever. By analyzing the word structure one can create a theory of how the word was created. Broken down, \"hump\" means: thrusting one's pelvis into an object usually a butt of a person, pulling back, and then as the saying goes \"rinse and repeat\". \"a\" is an article that refers to a single item. \"dump\" is a slang word for fecal matter. Separately the words have nothing to do with each other, but as a whole the word creates a meaning. This resembles the nature of how humpadump is used, without context the word is meaningless. This lead to the conclusion that the word's inventor might have been in a I'm-speechless moment\", a I-don't-know-what-to-say moment, or any other indescribable situation and had the idea to create a word that fills the awkward time.For more information, visit www.natnlhumpadumpday.com
	rumjum, remote	12678217  Cool way to say remote (television).
	conversate, conversate	3608787  Conversate = for many having a conversation. However the correct term according to the so called grammatically correct is to \"converse.\" Someone wrote an unecessary and rude explanation stereotyping inner city individuals for use of the word conversate. In their defense I would like to note the following: Personally I'm caucasian and not from the inner city. I went to Princeton. Many of my colleagues, ( also not from the inner city) used the word conversate. However converse is the proper phrase which actually reminds me of the sneakers converse. Conversate should be added to regular to end all bias. It's easy to determinewhere the word is derived from and what is mean when a person uses the term. At the end of the day a word is just a word because someone made it to mean one thing based on interpretation. New words are formed everyday which should have no reference to slang unless they have no real structure of evident meaning. Spread peace. :-)
	penish, penis	"1713875                                                                                                                                                                                                                                                                                                  a funny way of saying penis = P
3747555  A funny way of saying penis when you're mad. Can be quoted from a game that most youtube poopers love: Super Robotnik Land. Robotnik yells this as he smacks enemies away with his penis. (Look up \"robotnik and his gameboy\" on youtube, you'll surely find it.) A sound clip taken from the quote \"snooPING AS usual, i see.\"
5051270                                                                                                                                                                                                                                                                                               The hillbilly way of saying penis."
	con, sham	12265971  A Sexy LadThe equivalent of the word buere just for a boy. another word for sham. A Good Looking Lad.
	dtb, you	8395279  Ditch the bitch, crude way of saying you are leaving your wife/ girlfriend.
	boonder, a	4214067  Another word for a black jew
	nuttin, nothing	4282170  The coolest way to say \"nothing.\"
	afro-diva-act, aphrodisiac	5475511  Afro-diva-act: (n) an emotionally and in some cases sexually stimulating performer of African descent. A person who embodies this word is very skilled in their craft and can use such talent to arouse the human spirit into any feeling, thereby using the definition as an adjective, creating a performance that is an \"afro-diva-act.\" Such an event leaves all who attend in complete awe and amazement due to the magnitude of an afro-diva-act's stage presence. This word does not limit sexual orientation.e.g. Patti LaBelle, Aretha Franklin, Celia Cruz, Lillias White, Whitney Houston, Audra McDonald, Tina Turner, Jennifer Hudson, Fantasia, Beyonce, Tituss BurgessThis saying originated from getting tongue tied off of the word \"aphrodisiac\".
	weeb, wig	12269803  Another word for wig
	skankatch, skank	2408421  Works as an insult, or just a friendly joke. It is a combination of the word skank and biatch. (biatch is just an extended version of the word bitch) Can be used if your friend is a girl and dresses \"skanky\"
	tama, exist	4435254  Short for Puta Madre. (In Spanish)Variations of the word exist and when its used.Ex. -Puta Ma -Tama -Ma
	greatatious, it	3758693  When you think tenacious D is so great that you cant think up another word for it.
	schlonghead, dickhead	10211695  Schlong = penis. An alternative way of saying dickhead.
	mantako, ass	537843  GAYEST WEBSITE IN THE HISTORY OF THE INTERNET, GAYER THAN WWW.LEMONPARTY.ORG. esp gay because craig connegus uses it as a medium to try to achieve popularity. mantako is just another word for ass hole.
	cacopygian, badass	684895  Main Entry: ca·co·pyg·ian Pronunciation: \"ka-kO-'pi-j(E-)&n Variant(s): or ca·co·py·gous /-'pI-g&s/ Function: adjective Etymology: Greek kakopygos, from kako- + pygE buttocks 1 : having badly shaped buttocks 2 : an esoteric way of saying Badass
	retardondo, retard	1566848  A weird way of saying retard. Used commonly in elementery schools located in Texas because of its high number of mexicans.
	wissy, pussy	1181922  wissy... another word for pussy.. can be used as an insult...
	lyvisian, love	5289087  Lyvisian - (lee-viss-e-an) - To be in great profound love. The fundamental need and dependency on another's being, on their existence, on their happiness, on them wanting you, on them being yours and only yours, and on you being theirs and only theirs. The feeling of obsession, yearning, the selfish need to have the other for yourself. The intense urge to please, comfort, excite, enthrall, delight, satisfy and pleasure another.When you shrink in horror of even the thought of living without the other. When you truly believe that you would die without the other person, when all you are would drain away, leaving a hollow shell, empty and void, with no purpose, everything dimmed and without light, ripe for a despondent, drawn out starving death.When the other fills you to the brim with happiness, contentment, joy, warmth, love and makes you feel safe and at home. When no matter what happens you would continue to feel the same way if not stronger (also known as unconditional \"love\") When no matter how many years pass the feeling of such remains and NEVER fades.Warning! Lyvisian is a word to never be used lightly unlike its predecessor \"love\" and can only be used when you feel ALL of the above and without a shadow of a doubt that the other feels the same way and only towards a significant other such as a wife/husband/girlfriend/boyfriend, never an object, hobby or non-person interest as this limits the abuse that others have done for the word \"love\".
	nabj, noob	927724  A variation of the word noob but much more comical, some say it was invented by a genie called bob, other more sensible people think it was just another script kiddie with too much time on his hands. Often Used in internet slagging matches.
	indeed, indeed	1709465  a word used to make even the most innatentive moron sound borderline brilliant. The use of the word indeed can speak volumes of unquestioned smarts, and can suggest that the user has a great, expansive vocabulary. Be warned, the use of indeed may cause some people to feel uncomfortable and less superior in the users presence, intimidated by their free usage of the word.
	caille, racaille	2870151  Another way of saying \"racaille\".... a french word, meaning \" hustla /gangsta\". Distinguished by their Lacoste clothing, they usually ride in big numbers.
	paris, vagina	2064915  Another word for vagina.
	coofasac, a	4266031  another word for a male body part (penis)
	meanycabobleface, calling	5479959  Another word for calling someone a mean person, or to just use to break the tense room.
	trickititis, it	3995837  Trickititis - is the disease of acting like a trick. A trick is defined as being girl who is tease, hoe, or just a dumb bitch. A trick can also be a substitute to calling someone a bitch. Almost like a nice way of saying it. Trickititis can be sometimes very contagious. Not physically but emotionally/mentally.
	schneak, schneaky	2356186  To schneak somone is to in a bad/cunning way steal something or in a personal way, perform an action for your own personal gain/advantage, usually at the cost of the \"victim\" The verb verson of the word Schneaky (To be sneaky)
	madden, weed	1662338  A term used for the word weed when a lot of people are around you. Started by kurt, Shay, and Amber.
	maizin, amazing	8687336  Lazy way of saying Amazing
	prvt, private	4395156  Abreviation for the word Private, used online and while texting (SMS) mainly in the UK
	hoo-hah, comes	648394  An exclamation that can be made. Has an effect similar to that of exclamation points with written words. This particular use of the word comes stems from Al Pacino's character, Lietenant Colonel Frank Slade in Scent of a Woman. Synonymous with yeah and woohoo.
	buster, a	"3616913                                                                                            Another word for a police officer.When individuals would ghost ride their whip they would on rare occasions get caught by the police. Hence the word \"Ghostbuster\" or just \"buster\".
5031949  Another word for a Morkie dog (a mix between a Maltese and a Yorkie). This former mutt but now wildly popular breed is typically found in the Pacific Northwest, and is known for its abilities to perform a variety of tricks. Can be used as both a proper noun, and a noun."
	wotd, of	3300003  A game urbandictionary editors play to see how stupid of a word they can possibly use for the Word Of The Day.
	burnsick, burn	5903630  The combination of the slang form of the word burn: to disrespect someone (to diss); to make fun of someone; typically used by a third party after a first party makes fun of a second party, with that of the slang definition of the word sick: something crazy, cool, or insane in which an individual has never seen or experienced before.The word was originally coined by ROOTDestiny, a professional Starcraft2 gamer, referring to the disrespecting of an opponent, using tactics unfamiliar; uncommon, unseen or never experienced before by that opponent and/or viewers.
	suckera, the	3358966  Another way of saying the name Sakura, an annoying character from the Anime/Manga Naruto. Because we ALL know Sakura SUCKS.
	beyt, bête	8550394  Distortion of the word \"bête\" in French. Being rude to someone. When someone's reply in kind of sauvage. When someone pissed people in a brute way. Being unsympathetic.
	yup, yep	2985266  Used as a light hearted and goofy way of saying yep or yes.
	cx, sex	8102135  A smiley face, but also an alternative shortening of the word sex. Used to slip sex into a conversation, while smiling.
	brush, a	4477112  another word for a fox's tail, mainly used in hunters' language
	beeeeeed, bed	6502204  A geordie way to say bed but in a much more friendly manner
	inflammatory, inflammatory	12809418  Inflammatory is an adjective to describe a person who decides to act like a jerk in order to make someone else mad. They may even say manipulative things or anything to get a reaction and incite negative emotions such as anger, sadness, anxiety, etc.For example, a person could say, \"you don't want to see me.\" to a girlfriend who actually misses the boy, but he says an inflammatory line to get attention from her and maybe even just to mess with her.There is also a medical definition for the word inflammatory.
	detition, detition	5165792  A detition is a \"beauty\". Origin of the word \"detition\" is taken from TSN sportscenter host Darren Dutchyshen.
	bogie, comes	862329  A bogie is a person who does not belong or someone who is \"set apart\" from the crowd. If you were standing next to a homeless crack head, he would be referred to as a \"bogie\", that is unless you are a homeless crackhead. The background of the word comes from golf. A bogie is rarely pleasing and is avoided at any cost.
	fecci, feces	1106084  The singular of the word feces. Invented by myself because I could find no singular for feces.
	grasses, grass	11134061  Grasses is the plural of the word grass when a group of grasses come together they form a tribe by the name of grasslings
	begonias, generous	2964176  another word for generous sized breasts, boobs.
	chulet, shullet	863001  The faux-french version of the word Shullet (the shaggy mullet). Popular on some females, although never attractive.
	beakfast, breakfast	11568473  BEAKFAST- the right way to say breakfast. When you say \"beakfast\" make sure you spit.
	shricter, schralp	2972456  The combination of the word Schralp, and Ricter. Commonly used by surfers.
	sponser, sponsor	4514896  A word typically used by the inbred and/or ignorant. This is a variation of the word \"sponsor\" in which the sponsor mistreats the sponsored in a manner that leads to the sponsor crying like a girl. This sort of behavior tends to bring out the true feminine nature of said sponsor in which he/she manipulates the sponsored and ultimately handles the problem (in which said sponsor created) like a female on the rag.
	eaves, eavesdropping	7562181  A shortened version of the word eavesdropping typically paired with the word droppin'. To listen to people when you're not supposed to be.
	megan, comes	5088115  Megan is another word for perfect. The root of the word comes from ancient fairy world, where perfect beings were called MEGAN not many of them survived throught time but some are still among us.
	spliffer, spliff	193763  Another word for spliff.
