label	pair	defid	definition
1	evil, good	2620166	Another word for good. In the same vein as \"wicked\".
1	phuqed, fuck	291533	Yet another variation of the word \"fuck\". Also a pretty darn cool web site.
1	religion, christianity	7474141	Grossly misunderstood by atheist idiots who think \"religion\" is another word for Christianity. Religion can't be a \"lie\" when it exists and is a concept and part of society.
1	bratchet, gun	10742821	It's a true bloods way of saying gun
1	ne, no	943454	Another way of saying \"no\" (Antonym = Naw)
	god, and	2623340	God is a being which, in its various incarnations, has been directly responsible for more human suffering than any other despot or dictator in the history of the human race. Many mistakenly attribute the creation of the universe to this entity. However, this is not accurate. At best, God was smoking a reefer when things got started up - at worst, God doesn't exist. More wars and irrational slaughtering have occurred in the name of God than in any other name. All said, the death-toll is believed to be at least, in collective, the total population of the Earth as it stands today. Prayer is an act typically directed at God. However, there is no statistical correlation between prayer and the desired outcomes asked for in prayer. Therefore, if God does exist, it's statistically proven that it doesn't care for the plight of man. The concept of God, in the west, is largely associated with Abrahamic faiths, namely Christianity, Islam, and Judaism. These faiths are also the three major monotheistic belief systems of the word and are each, in their own regards spreading a dangerous meme in which God is portrayed as kind, good and merciful. God is none of these things. Historically, according to the old testament, God is a petty and jealous being. These are the earliest records of existence and concept of God. Religions that lack a God tend to be more objective and peaceful. For an example, see Buddhism.
1	dzu, yes	2725154	A very quick way of saying yes. Taken from the way Chinese language sounds to a non-Chinese speaker. Pronouned d'zu with the d and z fusing together.
1	mextel, nextel	3314908	Another word for Nextel. People refer to nextels as mextels because of their overwhelming popularity with hispanic people.
1	dick, balls	12915133	Another word for balls or penis. Stick it in a vagina to make girls moan your name.
	mizaxe, to	2822319	a lot of somthing, or another word for to the max
	blossom, came	2198081	Originally a slang word first known in gay groups and fetish circles from the act of using the penis pump on the anus until the rectum, or other bodily organs are turned inside out to become revealed known as the \"blossom.\" The origin of the word came from a gay fanzine in the early nineties of the same title called, \"Blossom\" published in Philadelphia. The fanzine specialized in amateur photographs sent in by male readers of their blossoms. The fanzine later changed their name and became more well-known in gay circles as \"Pump It Up.\" More recently, gay fisting groups have adopted this word to describe the same action but in the form of extreme fisting.
	danguses, indicates	3341768	Pronounced \"Dang-gus-siz\" - the female breasts which are particularly dangely or droopy. Elongation to the end of the word indicates larger size or droopiness of the chesticles.
	frishy, when	3228543	It is another word for when somebody gets excited.
