	queers, homosexual	4144883  just another word for homosexual people.
	danton, a	2471930  Another word for a reaaaaaaalllllllllyyyyyyyy small dick
	lepotwa, hello	148222  another way to say hello in the eyes of me!
	processees, the	7295950  A way to say the plural form of processes that some dooooosh made up.
	duncair, i	3290025  a simple way of saying I don't care
	x-treme, is	1202635  One better than \"Extreme\". Only those willing to take things to their furthest would dare do something so extreme that the \"E\" at the start of the word is too shit scared to stay and watch, running home to it's mum.
	scat, shit	"330071                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      1)abbreviation of scatophagy, meaning the consumption of excrement. 2) Defecation or faeces. 3) Substitute for the word shit
1103392  1)abbreviation of scatophagy, meaning the consumption of excrement. 2) Defecation or faeces. 3) Substitute for the word shit and 4) Scat was invented by the late Louis Armstrong on the fly during a performance. While singing, his music stand tipped over, dumping his music sheets. He improvised lyrics while an assistant picked up the sheets while he was performing. Scat was first seen in Jazz, and branched out from there. It now hsa uses as varied as one can imagine, often used for filler in a song when words are not necessary, but allow the singer to show their talent with their voice."
	stilla, still	3620349  a derivative of the word \"still\". Used to fully agree with a statement.
	qhat, what	2029134  New, rebellious way to say 'what'.
	seniorized, old	6769036  Another word for old. Describing an old person without calling them old.
	tryna, trying	11089834  A shorthand for trying to. An easy way to say trying to in everyday conversation.
	tienne, yours	5217071  It is someones name. But it is French for the word 'Yours'.
	stej, weed	10161584  Another word for weed.
	hochai, okay	1773262  A fun way to say \"okay\". It's a weirded version of h'okay.
	sex, sexy	2254122  Sex. noun, alternative for the word \"sexy.\" Similiar to the Paris Hilton's usage of \"that's hot.\" Or that girl on SWEET SIXTEEN's \"That's juicy.\" Formula:adjective-suffix. aka. Sexy- sex, Sketchy-sketch, etc. America is too current for adjectives/adverbs/and verbs.
	witwoot, wootwoot	6566843  British way of saying wootwoot.
	cher, hello	6441483  Casual greeting in New Zealand slag. Substitute for the word 'hello'.
	stishnem, a	5450184  Another word for a stick of weed or just weed in general. Commonly used by adolescents in the inner-west area of Sydney, Australia.
	doodey, doodie	3645387  an alternate way of saying doodie or poop. a funny t-shirt store
	ettiqulitus, ettiquete	2762142  Variation of the word ettiquete. Meaning that they are over flowing with class. A beautiful female for example.
	bunberrying, from	3082059  Living a double life in order to acheive material or superficial goals. Goals such as hooking up with girls..... Hmm I guess thats about all bunberryings good for. This is an interpretation of the word from Oscar Wilde's \"The Importance of Being Earnest\"
	gush, a	12853028  An expression by females as a way of saying a guy is sexually attractive and/or what he is doing is impressive/is turning you on. It's like lush, but with more of a sexual connotation, and far less creepier. To say someone is gush implies you wanna have sex with them. You want them to make you orgasm so bad.
	bah, gah	1436357  Another, slightly more interesting way of saying Gah
	dink, dick	11680451  another word for dick
