	retards, the	1415526  A typo of the word regards which can get you in serious trouble at work.
	bid, awesome	3644831  An amazingly chill person or item, so cool for anyone to handle. It is x10 greater than the word awesome, and has a much greater feeling when said.
	dat, that	11159651  Shorter version of that (cuz the internet is fucking lazy)
	omg, an	"102899                Net-centric abbreviation for the popular exclamation \"Oh my God!\" (generally used in conversations to exclaim surprise or disgust). Most commonly used by teenage girls who find it depressingly hard to type out an entire word. Reinforces assumptions that humans seem to be getting dumber from generation to generation. See also u, like.
9687288  Net-centric abbreviation for the popular exclamation \"Oh my God/goodness/gosh!\" (generally used in conversations to exclaim surprise or disgust). Most commonly used by teenage girls who find it depressingly hard to type out an entire word. Reinforces assumptions that humans seem to be getting dumber from generation to generation. See also u, like."
	umbs, dumbass	1463236  \"umbs\" started as a typo for dumbass. It's used pretty much the same way. Plural is \"umbses\"
	kinuda, garuke	3682179  Kinuda; The present progressive or gerund form of the verb \"garuke\" meaning to rape, pillage, or otherwise obliterate an opponent See also \"Garuking\"
	fook, facebook	2741303  a shortened version of the verb facebook, i.e. to use the website facebook esp. in western North America
	smoocharoo, to	2413566  A combination of the verb to smooch (to cuddle, kiss a little and perhaps even go as far as getting to 2nd base) and the last part of the word for the animal Kangaroo (Weird, furry, jumping animal, native to Australia. Often regarded as cuddly, soft and sweat which is actually a misconception as the bastards will kick the shit outta ya if you get too close. They also make great bbq meat. But that aside.) You give your loved one a smoocharoo when you want to keep the end of your conversation short. Rather than getting into the whole 'I want to kiss you allover, hold you real tight, I'll miss you so much, You hang up first, No YOU hang up first; you just say: 'Smoocharoo, babe.'
	tsfh, that	6260534  that's so fucking hilarious;when something funny happened but you're too lazy to type out that it's hilarious.
	thoams, thomas	945597  What I get for trying to type Thomas too fast
	cuchieplancheo, shit	6111658  1.)Spanish version of sex. 2.) Something to say when ur angry rather than the word shit or damn so you won't get in trouble.
	aspirtain, aspire	7404691  This is the combination of the words \"aspire' and \"obtain\". Directing one's hopes or ambitions toward getting, acquiring, or securing an objective. This would be a present infinitive form of the verb aspire. This word can be interchanged with the phrase \" I aspire to obtain ... \"
