	ip, op	5527462  Initial PosterPossibly started as a typo for OP -- original poster. Used on forums.
	amaz-z-zing, all	5933765  Extremely amazing. Is used when the word amazing just doesn't cover what you want to say. Also written as amazZzing.(usually used by those who do not want to type out all of the dashes) When written in caps it reads: AMAZzZING.
	toop, top	7004165  A word first derived after a mistake when trying to type 'top'. It since has become a term fo refer to someone who is of great importance to a person. Other terms are shuna, mona and beboo.
	bovered, and	1583905  Chavs way of pronouncing and writing the phrase \"Am I bothered?\"
	beeze, to	5207777  Beeze (verb.) - a slang conjugation of the verb to be.
	esactly, exactly	6150674  A typo of exactly, used when you are talking to a girl you have particularly a lot of interest in dating and making happy.
	richmonde, richmond	12684508  Sometimes a typo for Richmond. Used as a name.
	blew, blow	10860139  The past simple of the verb \"blow\". To ruin something, with an advantage or with hope that you'd be able to do it correctly.
	comprendez, comprender	1130285  What? French word? My balls! This expression is taken from Spanish, is the third person singular present tense of the verb \"comprender\". It's used mostly in questions, meaning \"do you understand?\", \"get it?\"
	essyte, excited	3311915  way more excited than the word excited can describe.
	choonger, choong	3109971  being even more choong than the word choong like mean meaner meanest, best better bestest etc...
	gerrett, asshole	3766223  Being a know it all, but always wrong. A short word for asshole and loser. Have an annoying squeaky voice and always talk about cars, computers, or tennis. Can talk the talk but can't walk the walk.
	emilyandy, best	4856908  A word that describes something thats even better than the word \"best\".
	freedon, freedom	"1947447  common typo of freedom
1947449  common typo of freedom"
	shakingdown, to	3948200  The progressive form of the verb to Shakedown.
	bimmy, the	2630957  A typo of the name Billy in the NES video game, \"Double Dragon III: The Sacred Stones\".
	cooncing, coonce	5245338  1.) When you flirt with a girl, but have absolutely no end-game 2.) When you spike your hair like Edward Cullen 3.) When you wear v-necks and flail your arms 4.) General unrulinessthe present tense of the verb \"coonce\"
	utah'd, yeah	3188267  Getting fucked by your iPhone's text recognition after trying to type \"yeah,\" in a text message. Instead of reading your mind and spelling \"yeah\", your conniving fucking iPhone \"corrects\" your pitiful attempt at texting \"yeah\" (\"urag\", for example) and changes it into the word, \"Utah.\" Shit!
	shoop, photoshop	4757503  A bastardization of the verb \"photoshop\". To use photo editing software to digitally alter an image, usually for comic intent.
	yonyo, the	8020435  Yonyo is a typo for the word yoyo when greeting someone through text/social media/etc.
	uzi, the	12680159  A shorter way of pronouncing the name of the rapper \"Lil Uzi Vert.\" Another way to pronounce his name is just \"Lil Uzi\"
