	grendads, grenades	1311546  A typo of grenades. Most commonly used by people who can't spell and are total n00bs
	experticity, expertise	12339422  A word used by non-experts to make themselves sound like an expert. Has more syllables than the word expertise, thus the speaker attempts to sound more intelligent, but usually fails.
	trollnig, trolling	5808647  Like trolling, but trolling a black guy. Originally just a typo of trolling but now has it's own meaning.
	nomah, nomar	602403  1. strange way of pronouncing nomar garciaparra's name 2. crappy baseball player that is pissed off that he almost got traded and doesn't want to play in Boston anymore
	l, a	9643169  A term used by Internet fags because they are to lazy just to type out a full word: usually meaning loser.
	beak, marklar	3022686  A versitile word which can be used to replace any noun, pronoun, vowel, verb, adverb, adjective or preposition. Better than the word Marklar, which can be used as a generic word, similar to a pronoun, that can refer with specificity to any thing, place, person, idea, concept, or otherwise represent the meaning of any noun, including proper nouns.
	jornk, form	3628328  1.Noun- an ambiguous term known only by Canadians. The noun form has a variety of different meanings all of witch are uncertain. ex. Youve got alot of jornk in there. 2. Verb - again this usage is ambiguous and has a variety of different meanings. Its verbal form can take on the forms jornks, jornked, jornking, or jornksings. ex. Hey you stop jornkin over dare. 3. Adjective- This form can describe any noun in any language. It is uncertain, however, what this discription means. ex. The jornked moose is nolonger living. 4. Adverb- this form can describe any verb or any other adjective, including the adjective form of the word jornk which can describe the noun form of the word jornk which can assume the action of the verb form of jornk. ex. The jornky jornked jornk jornked maple syrup.
	kewl, cool	"1119698                                                                                                                                                                                                                                                                        The aggravating way of pronouncing 'cool'. Used by the weed smokin idiotic gay bang gang members.
1663467  A spelling of \"cool\" that makes fun of the word \"kool.\" It is much more interesting than the word \"cool,\" since \"cool\" and \"kool\" have become cliche and pretty much lost their meaning. Many people seem to have a problem with \"kewl\" because they have sticks up their asses and actually complain about how people say \"cool.\" All I can say is... \"Take it Bitch.\""
	delkete, delete	214593  A typo of \"delete\", originally used when mike of FFWA was drunk, now widely used on the internet.
	drp, the	2141783  A typo of the word 'dro, in terms of hydroponic marijuana.
	gaga, haha	1936625  A common typo of haha. People usually think you're a fucking retard when you say it.
	caw, create	1103475  Short word for Create A Wrestler
	ronin, robin	4642151  A typo for Robin. Makes an excellent nickname. Pronounced like Robin, only with an N.
	poon, owned	1088879  To get one's ass kicked in a Game. Also known as Power Owned.
	dragonforce, go	2818982  The adjective form of the word, to be used in conjunction with some tense or form of the verb go, derived from the power-metal band of the same of the same name, meaning to overcome or defeat someone or something very soundly and/or with extreme prejudice. Used in the context of a fight or competition of any sort.
	invertimagate, investigate	1032601  To invertimagate; a typo for Investigate
	owah, whoa	4812266  1. interj. A word originating as a typo of \"whoa.\" An all-purpose interjection.
	conjugate, so	1513111  The hard part about learning a new language. Conjugating the verb is changing the end of the verb so it fits the tense (past or present?), number (singular or plural?), person (1st, 2nd, 3rd?), and many other fancy grammatical aspects (perfect, imperfect?) of the rest of the sentence.
	primota, primita	7383504  an affectionate form of \"prima\" (female cousin) in Spanish. Primita is far more common, however. Primota can also/ is probably actually a typo of primita.
	prob, the	6244809  the word prob is a short word for the word problem,
	xcore, whole	956894  word used to confuse the hell out of people who like to type out whole words and say \"hey thats awesome\"
	lawomp, couple	6193649  ExclamationA Derivative of the phrase \"Womp,\" a term of sorrow, sympathy, or pity. Based on the failed efforts of Big Brother 13 ex-housemate LaWon, who was asked to be evicted based on the unconfirmed idea that if evicted he would return to the house with \"special powers.\" In a turn of events, he had to battle for his spot back in the house and was THOROUGHLY bested by America's vote Brendon, fiancee of the hideous BB 13 winner Rachel (also known as power couple BRENCHEL). This poor gameplay, burdened by then Head of Household Kahlia, was some of the worst in BB history.
	andreq, andrew	12921418  A typo for Andrew
	munging, munge	1403495  The active form of the verb munge, meaning to fail or otherwise fall victim to accident resulting in bodily injury. Rarely used to describe damage to property.
	accreate, accurate	8978582  It's a real sound developed by Dj Khaled. It's Dj Khaled's way of pronouncing \"accurate\"
	breal, break	4491451  Originating from a live stream of Kingdom Hearts: Birth by Sleep, breal is a typo of break.You can pretty much use it for anything.
	nate, nut	12932843  The past tense of the verb nut.
	wapy, the	4523077  adj. An acronym for Whack Ass Person(people) Yo. Usually describes a situation, person, or an event.WAPY was created in the era when people used acronyms to describe their current state since they were to lazy to type out the whole expression. Example: HMU SMH WTF LOL LMAO
	fagget, faggot	2470859  A person that does not know how to spell \"faggot\". Often used as the French way of pronouncing \"faggot\".
	ignigniate, create	2391628  VERB: Ig nig' ne ate (ig as in igloo ) ( Rooted in Ignite ) Definition of Ignigniate ( Create ) yet, more powerful than the word create in that is means to create by a force of symbolic igniting as in a forceful creation as a result of atrocities from continue attempts to provide a solutions to a purpose, cause, or for lack of a better word than create. If the theorey of the BIG BANG were to include that an intelligent being caused the Big Bang after much frustration with ignorance of others and in need of a solution then it would fit to define Ignigniate. The word fell into place as I was writing and in need of a word that was used to address a Senator on an Environ-mental Issue. Quote: \"\" The sum of continued destructions of our heritage lands ( as the 44 Oil Wells Planned for Yellowstone ) is potential to ignigniate a simultaneous evolutionary leap of Human Consciousness that will uncover the fiction that shouds the truth of our Global Position and our Congressional betrayals.\"\"
	jsut, just	2053146  \"Jsut\" is a typo of just. It is commonly used over the internet to mock certain users that frequently make spelling mistakes due to typing way too fast.
	pillips, the	3807651  An alternative and often derogatory way of pronouncing the surname \"Phillips\"
	shat, shit	"615214                                                                                                                past tense of the verb \"shit\"
675483  1) The slightly irregular past tense form of the verb shit. 2) Appropriately enough, the nickname for \"Star Trek\" has-been William Shatner."
	owm, oh	10388573  A typo of oh my word, doesn't really mean anything
	bitcher, the	2557721  An increasingly more common typo of the word \"butcher\".
	fantabulous, fabulous	1534663  Sort of like \"fabulous\" but much more fabulous than the word \"fabulous\" can convey. Like supercalifragilisticexpialidocius but shorter and easier to spell.
	sk9, skenening	2688884  Short word for skenening.
	ficl, fuck	2030862  Ficl is a typo of Fuck
	pwned, pwned	1414385  often thought to be difficult or impossible to pronounce, the correct way of pronouncing pwned is \"owned\" dependent upon the situation would be understood accordingly. 1. to destroy beyond \"owned\". to completely overpower your opponent as typically used in video games,(but is in no way limited to) 2. being on the lesser end of a situation, getting the short end of the stick. 3. being on the misfortunate end of a scenario, often humerous is to be pwned. . origin is unknown but a possible definition is \"power owned\" often spelled with a P instead of an O as an abbreviation to show domination beyond simply owned. 4. power pwned or ppwned, complete and utter decimation or annlihlation. not even worthy of speaking with the victor or replying from his statement of \"power pwned\" or ppwned\"
	missplelled, misspelled	817265  Originally a typo for \"misspelled\", has come to mean \"to screw up\". Can be used figuratively or literally. Usually carries a negative connotation and is related to sex crimes.
	pudate, update	12016006  An update that went wrong; a typo for \"update\"; a change to something that didn't work out as intended
	urd, yes	2396234  URD is an ancient term which can be used to describe many things. URD can ulso be used as a battle cry. Before running into combat, it is traditional for some cultures to run in screaming \"URD!!!!!!!!\" before fighting their enemy in close quarters combat. URD is also a typo of 'yes' but that is irrelevant...
	bumholed, bumhole	8669737  Bumholed is a verb, specifically the past tense of the verb bumhole.
	emptonal, the	5254883  1. (adj.)- the feeling of being completely overwhelmed by existence; utter confusion at reality; being thoroughly frightened by the reality of life2. (n.)- a typographical error made when trying to type the word, emotional.
	phoke, poke	913751  1. To poke someone with the intention of getting them to come eat pho with you. (This incorporates a regional/cultural definition of the verb \"poke.\" The word in this context means, \"To get someone's attention, either playfully or not, in order to communicate with them. Actual physical poking, as with a finger into one's side, is irrelevant, but certainly possible.\" This definition provided as an alternative to UrbanDictionary.com's current definitions for the word \"poke,\" most of which are vulgar in nature.)
	banstarge, bastard	1796926  Strange bastard. Originally a typo of \"bastard\" while under the influence of marijuana .
	u, an	2969991  A shortened version of the word \"you\" used by ignorant preteen assholes who are too lazy to type out an extra two letters.
	lejot, legit	4708588  when one is more legit than the word legit
	fucl, the	1061565  fucl (pron. fuckle) A typo of the often used fuck, most likely to be said when angry, or frustrated. Common use may be heard verbally if the subject is prone to typing fucl.
	voders, voters	524821  The Schwarzenegger way of pronouncing \"voters\".
	youutbe, youtube	2854046  a mistake most likely made when trying to type youtube.
	gatted, to	1796807  Gatted is the past tense of the verb to gat, which me get shot for example
	vconras, congrats	1555971  the term \"vconras\" is still largely confined to the USENET newsgroup alt.fashion. it originated as a typo for \"congrats\" in an instant message session between two members, who decided it sounded much better than the boring and ubiquitous \"congrats.\"
	excisome, exci-awesome	5505580  (adjective) a short word for exci-awesome
	anomony, which	5695281  Deeply meaningful and significant.-The sense that a concept has so much more existential importance, and significance than the word which names it suggests.-That there is an ineffable quality to the meaning behind something.-Something which cannot be conveyed with words, but only experienced first-hand
	af, two	6716117  The retarded way of saying \"as fuck\". It is an annoying acronym that mostly ignorant teenagers use. In my opinion, it is stupid AS FUCK. It shouldn't be too hard to type out two words.
	covfefe, coverage	11630944  A \"covfefe\" is what happens when you are taking a violent dump while trying to type \"coverage\", then briefly convulse before dropping your phone in the toilet.
	roffl, rofl	1242246  Roll on f*king floor laughing It is a typo for ROFL. This is used when you are giving the expression, ROFL but much greater.
	serciously, seriously	6928123  A word made by \"really smart\" people named Andrew, for no apparent reason as a response to the word Indubitably (which means indeed). Clearly a typo of seriously.
	yonyo, the	8020435  Yonyo is a typo for the word yoyo when greeting someone through text/social media/etc.
	pwnt, own	629981  Originnally a typo of own, pwn also can be looked at as \"Pawned.\" pwnt is just the past tense of pwn.
