defid,word,definition
76870,E,"Short form for ecstasy. Ecstasy refers to MDMA, however most modern day ecstasy is just MDA or MDEA. MDMA is a party drug used by some who attend raves, clubs, concerts, spiritual sessions, etc. MDMA is not very physically addicting, however it depletes seritonin at a rapid rate which causes the high. This causes the user to feel depressed for a period of time after taking the drug. Heavy abuse of the drug has been proven to cause permanent brain damage (not government endorsed). Brain damage may be avoided by moderation and the use of seritonin building supplments such as 5HTP. MDMA was found to have very positive psychological qualities during medical testing but the fact it could be abused is what caused it to be banned."
336531,e,the letter that comes after D
1308223,E,"A slang term for the drug MDMA, also known as ecstasy, x, Emos, e-mazing, or the love drug. E comes in pills, gell caps, or liquid form. Pure MDMA is extremely hard to come by, and most E is part MDMA, part speed/coke/meth/heroine. The effects are different depending on what kind of E it is (what is in it other than MDMA). I'd say this is my drug of choice, just because the trip is awesome. It can be very obvious that you're tripping on it, though, as your pupils pretty much swallow your eyes, you usually talk a lot and very fast, and people usually grind their teeth or do other repetitive actions with, most often, their jaws and fingers. A loss of appetite is also experienced. E is pressed into different amounts in pill form: single-stacked, double-stacks, and triple-stacks. If you don't want to become a burnout E-tard, I'd recommend spacing out your E trips; Popping E too often can result in loss of memory, lack of intelligence, and eventually your brain will be fried. E can be taken orally (popping/dropping E), or the pill-form can be ground up and inhaled through the nose (bucking/snorting). When popped, E takes anywhere from a half hour to 2 hours to kick in, give or take. Bucking E kicks the trip in faster, but the effects also wear off faster. The average E trip lasts around 4 to sometimes up to 8 hours. The crash is horrible, though: depression, stupidity, slowness, exhaustion, sometimes dizziness and sickness. I'd say the coming down is well worth the trip, however."
1289062,E,"n. A drug (Ecstasy or MDMA) widely used by individuals who attend raves. It's effects give the user a rush of emotional happiness. E releases a chemical called serotonin into the brain which cause most people to open their thoughts and feelings without hesitation. Ecstasy is the choice of drug in the Asian scene and makes girls horny as fuck. However, a male under the influence of ecstasy may become temporarily impotent."
237977,e,"(Usuall italicized) The limit of the expression (1+1/n)^n as n becomes infinitely large, and the base of natural logarithms. An irrational number, approximately equal to 2.71828182846. e is also known as Euler's number, for Leonhard Euler."
404138,e,"a number that, when raised to the x power, is the derivative and antiderivative of itself. d(e^x)/dx = e^x, sucka. ?(e^x)dx = e^x + C. Holla at calculus, biotch. e can be represented by the infinite series 1+1/1!+1/2!+1/3!+1/4!..... e is the base for natural logarithms. the e root of e has a higher value than any number in the form of ""n root of n."" (approximately 1.44467) e to the square root of negative pi (an imaginary number) amazingly equals -1, a real number. To the 9th decimal place is 2.718281828."
2770584,e.,"Another Lads sayin. This is a shortened 'eyyyyyy' its pronounced like 'e' asin the children alphabet, its not a capital letter,its low case. its not pronouced 'e dot' or 'E.' or written as a capital. Although the dot is there, and it does have to be there, it is ignored. Its in the 'chinns n grinns', 'chinnwag', 'eoc.' 'just general' 'f'tlads' and 'urban treat' series But is infact an origional. its sort of like an agreeing word, like if uve made a fair point, or a good joke, or if i cant fault u. You sorta raise your hand at them aswell to show uve 'given em it' its kind of respect, and its like to show u aknowledge them N it sounds like ur gonna say eyyyyyyyyyyyyyyy, but u missed the y's off. So its quick n snappy u can also say it in an aqward situation, or if your stuck for words, e. Oh yeah its strictly british, americans just wouldnt understand."
1364870,e-athlete,Someone who enjoys computer games (too much). Often possesses a grandiose sense of self. (Also see Pro-gamer)
3510699,E-Argument,An argument between people using only electronic means. No sound is involved.
11169760,e-anderthal,Someone who is so computer illiterate they are practically a caveman (person).
2267871,e-alphabet,The order of letter that appear on most standard Keyboards throughout the United States. Starting in the upper left hand cornor with Q and ending in the lower left with M. QWERTYUIOPASDFGHJKLZXCVBNM
1378037,e-athlete,"E-athlete, or ""electronic athlete"" People who play video games as a sport."
1090988,e-athlete,See ZiNcH @ #RandomXperts on gamesurge.
3930462,e-age,"The term used to describe the world we currently live in, that is constantly being connected, via twitter, facebook , cell phones, pda, crackberries etc. and all of their inter connectivity. This was original coined by cyborgt."
1310279,e-affectionate,Affection expressed via internet.
5872632,E-Affair,"An E-affair is one where two married people in separate marriages are ""involved"" through text, phone calls, emails, FB, yahoo, any social networking yet do not engage in sex. Their relationship can be that of sharing intimate issues with each others spouse or a desire to be with the other person. This can involve sharing videos, pictures, web cams, sextexting, or phone sex."
5654602,Eage,"To smoke or drink. Can also use ""liquid eage"" to signify an alcoholic beverage"
1310291,e-affectionate,Being affectionate via internet.
1457265,e-affectionate,"What happened to Ned Beatty in the movie ""Deliverance""."
749542,o,"1. The 15th letter of the English Alphabet. 2. Slang for an ""ounce"", in reference to drugs. 3. Abbreviation for ""orgasm"". 4. Abbreviation for ""oh"". 5. Slang for the work of literature, ""Othello"", by William Shakespeare, recently cited in the movie ""O"", a horrible modernization of the Othello story."
3833538,R,The spoken sound to acknowledge failure or a Let Down decision. It is emitted from one's mouth either voluntarily or involuntarily upon receipt of bad news.
3594105,ø,A scandinavian letter that pwns all you non-scandinavians.
5219151,o .,a way to make any conversation awkward
987615,ö,"Umlaut. Sounds a bit like the i in ""girl""."
1058398,Ø,"An O with a stroke through it used in Danish. It looks cool, but unfortunately is not used in English. What a pity."
675596,ø,"This is the 28th letter of the Norwegian Alphabet. Contrary to popular belief the letter ø is NOT diphthong, however it is another way to write the vowel combination ""oe"""
984025,Ö,The last letter in the Swedish Alphabet.
418662,r,The non existant letter in any bostonian's vocabulary.
572090,r,"The lazy person's version of many, many words, such as: 1. Yes 2. No 3. Correct 4. Hello 5. Goodbye 6. Fine thanks The word, or letter, may prefix certain textual emoticons, which enhance its meaning. It is however important to remember that the usage is context sensitive, so make sure you think before you speak. - Mostly used among members of Demon Internet's noc."
381226,r,a lazy form of typing the word are.
10620106,R,The R programming language used in statistics and other things
993139,R,"An MPAA movie rating that stands for ""Restricted"". Movies with an ""R"" rating are not allowed to be viewed by those under 17 without a parent or guardian present. Also, these movies may contain a great amount of or very intense violence. Complete nudity and sex are also permitted, but they usually may not appear simultaneously (doing so would mean an nc-17 rating). Additionally, any movie that uses the word ""fuck"" more than once, or any movie that uses the word ""fuck"" at all and refers to intercourse is automatically rated ""R"", regardless of other content in the movie. A fine example of this rule is the ""The Castle"", which would probably be rated PG if not for the profanities. ""R"" is the second most severe movie rating, one ""step"" above PG-13, and one ""step"" below the seldom-seen NC-17."
17400,r,"The laziest way to type the word ""are"". Used by many AOL girls on the Internet."
7096074,R-Boned,"1. Getting pulled into a useless conversation with a self-proclaimed expert on the subject matter 2. Having a certain self-proclaimed expert involved on a cost and time sensitive project and totally failing 3. In general, getting screwed by an incompetent hipster"
543621,R-PAN,da illest nigguh in da Rock..
2423828,R-OHing,R-OH is the chemistry term for alcohol. R-OHing therefore means: drinking.
5489781,R-monkey'd,"Another way to say raped, usually in the context of online gaming. Comes from the fact that a type of monkey is an ape, therefore R-ape'd or raped."
1023790,r-mack,"- One who holds no real thoughts or opinons - See: definition of Chav To truely be an r-mack one must have a strong affinity for WARREN G, BONE THUGS + taking over parties. An r-mack is always accompanied by THE SIDEKICK. The Sidekick is commonly referred to as ""R-MACK'S LATEST ACCESSORY"". Essentially, the Sidekick's sole purpose is to confirm everything an r-mack says (repeats what an r-mack says and adds a simple, ""HA! YEAH!"") THE SIDEKICK IS THE 'TAILS' TO AN R-MAC'S 'SONIC. AN r-mack can only display THREE facial expressions: 1. ""It smells like crap in here"" 2. ""I...am...processing...thoughts"" 3. ""Someone left a roach on the floor!"" (this expression is only recognizable to the close observer; the blank look is still intact but the lips curl up .222 mm + the eyes often sparkle) DON'T PANIC: If you find yourself with someone you suspect to be an r-mack, do not panic, we are here to provide you with.. UNDERSTANDING YOUR R-MACK: If an r-mack starts dancing, he is NOT just in the mood for dancing. With this being said, keep a close eye on the intoxicated females (ages 11-19) ALWAYS look out for the ladies/tweens who have been drinking to avoid experiencing unprovoked licentious. (I cannot stress this ENOUGH) IN CONCLUSION: an r-mack does not purposefully piss you off, it just kind of.. happens perhaps it's.. the (lack of) expression on his picassoesque face the way he preys on young or the way he objectifies women his lack of tolerance, followed by face #1 OKAY, I could suggest a million reasons why women young + old feel their skin crawl + their insides ROT just by the mere mention of an r-mack.. BUT THEY WOULD ALL BE FALSE.. TRUTH IS.. the only way you will BEGIN to understand is witness an r-mack. (the feeling in your gut, the rotting inside of you, the crawling of skin, the curdling of your blood, the bitter taste in your mouth) BUT IN THE END YOU JUST HAVE TO LAUGH at how well an R-MACK REPRESENTS THE VALLEY.*"
7187756,R-low,A man with a beard who refers to himself as a creep but yearns to be 'special'.
3614957,r-load,"When you are reloading on an FPS and have no time to tell someone that you are reloading then a time saving mechanism would be to say r-load. Even though reload is the exact same amount of syllables as r-load i can assure you that it is much faster to say. This technique is also used on the word grenade to make r-nade. The word stems from r-tard which is used on the famous episode of southpark ""Make love, not Warcraft"""
1701122,R-Lo,J-Lo's retarded sister. Used to make fun of someone.
8658797,RLO,"Real Life Only, which means the person prefers to meet people in ""real life"" as apposed to the internet. Often used in conjunction with online dating or hook ups"
12363777,!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1,"When you copy and paste ""!1!1!1!1!1!1!1!1!1!1"" and go too far."
10583058,!1!1!1!1!,Something that you out at the end of your sentence to be sarcastic
11675678,!1!1!1!1,used at the end of an extremely sarastic statement
10131351,!1!1!1!,Used to make a sarcastic statement even more exaggerated.
10830036,!1!1!1,"the repeated usage of 1!!11! indicates the sarcasm after a phrase, sentence, or word. for example -"" i hate you for saying that!1!1!1"""
10996661,!1!,means sarcasm
1413871,!1,"Common typo among people who like to insert many exclamation points to the end of a sentence, caused by accidentally releasing the Shift key before the 1 key, and sending the message without previewing it to realize the typo had been made. Often used on purpose to make fun of such accidents and the people who make them, or as part of leetspeak. A similar but less-joked-about occurrence is the tendency to insert backslashes after a string of question marks."
515970,!1,Punctuation commonly used in l33tspeak that emerged from a typo.
2794647,"""1-0""","when a trick is playd on a friend or colleague. if fallen for the result of the trick can b called ""1-0"" as u r winnin the game u hav introduced ur friend to. this can result in a game due to bordem throughout day or week. this does not need to b used as a game but can b used for comical purposes. © of lochaber high school 4th yrs"
5551098,"""Alright""!",John Lennon's Favorite Word. He Sing This Is The Song Revolution By The Beatles. And It Can Be Used In Any Moment In Time And Be Funny.
5943843,"""adjective""+","Adding a plus sign on to any adjective ala Google+, which acts as a positive superlative."
1616379,"""A""-Town","I phrase commonly used by people attempting to make a town or city appear much cooler then it actually is. The ""X"" is simply replaced by the first letter in the name of the town or city to create a hip trending nickname. WARNING: This nicknaming is commonly used by white trash, douche bags, and the under educated."
959273,"""A""","""A"" as in Atlanta,Georgia"
5529050,"""]",A smile - an alternative to : or :).
5341197,"""@..","The symbol of a a small revolutionary team leaving snails and snail related images around Canberra, Australia. The team assembled in 2006, but trully formed for the common cause in early 2008. Such symbols can be found in the Mawson and Woden areas. ""@.. means a variety of specific things, one of those being love :)"
12409318,"""?","when you try to put ""/ but hold shift for both letters :("
4069181,"""]","A smiley face like = or :) but with the eyes vertical.Can be used for any 'smiley' face."". ""/."
2291898,e-ring,Short for engagement ring.
7099288,O'deria,"Beautiful spirited, kind hearted, has scoliosis, weird, amazing, and never gives up. loves food. O.o Only one person in the world by that name.. Find her.."
3742104,o'dell,"An Irish Lastname, usually the last name of a person who likes to get hammered drunk (hence the irish) and/or buckwild. Fun person!"
6500325,O'Dea,"O'Dea is an Irish surname or family name.It is pronounced ""oh-dee"" (IPA: /oːˈdiː/) and is an anglicisation of the original Irish language name, Ó Deághaidh, meaning ""descended from Deághaidh"", the name of a tenth century clan chieftain.The traditional Ó Deághaidh clan were based in the townland of Dysert O'Dea in County Clare in Ireland, near the modern town of Corofin. The important Battle of Dysert O'Dea took place there in 1318 when local clans of the Kingdom of Thomond, including the O'Deas, fought the Anglo-Normans.The Irish alliance routed the Normans and, during the combat, local chieftain Conor Ó Deághaidh killed the Norman leader Richard de Clare with an axe. Thomond remained free of foreign rule for 250 years after this decisive battle until re-conquered by the English in 1570.Diarmaid Ó Deághaidh built a castle at Dysert in 1470 and it is a museum today along with an an important Celtic high cross and an adjacent ruined monastery which was founded in the eighth century."
5726082,O'Dangle,a form of pure excitement and exhileration.
5904473,O'dain,"A man with an honorable heart, he is strong willed, and the love of my life. O'dain is easily amused and annoyed by his wife. But It's crystal clear his love is steadfast, and true! O'dain is easy to temper, and can be difussed by nothing but time.. tick tock...O'dain values his family, and this is demonstrated each day by the way he treats his wife, mother, siblings and anyone else that may subtly fits this category. O'dain is handsome as hell, with the sexiest chest and arms his wife has ever been to fortunate to linger her fingers upon. He's a catch!"
6206698,O'Cup,A dc drink made from alot of different cheap liquors mixed with fruity juice. Usually about 5 dollar
6349111,Odell,"A vodka and orange juice. Samual L. Jackon's character, Odell, drank them a lot in the hit movie, ""Jackie Brown"""
9007960,Odell,Truly a god. I have to change over him
2886022,o'dell,"very ugly person full of stupid thoughts. Usually blonde, but ocasionally brunette."
96153,odea,odea highschool!! (an all boy school-yea baby!)
3643199,O'Dea,"A Catholic all boys High School in Seattle, Washington, known for it's high academic and athletic standards. O'Dea is committed to the education of young men: academically, spiritually, socially and physically."
