Mysql Insert Error: 1062, Duplicate entry '5842157' for key 'PRIMARY', defid:5842157, word:C 
Mysql Insert Error: 1062, Duplicate entry '5842157' for key 'PRIMARY', defid:5842157, word:C 
Mysql Insert Error: 1062, Duplicate entry '5842157' for key 'PRIMARY', defid:5842157, word:C 
Mysql Insert Error: 1062, Duplicate entry '5842157' for key 'PRIMARY', defid:5842157, word:C 
Mysql Insert Error: 1062, Duplicate entry '4559878' for key 'PRIMARY', defid:4559878, word:C&H 
Mysql Insert Error: 1062, Duplicate entry '1838488' for key 'PRIMARY', defid:1838488, word:H. 
Mysql Insert Error: 1062, Duplicate entry '1838488' for key 'PRIMARY', defid:1838488, word:H. 
Mysql Insert Error: 1062, Duplicate entry '1838488' for key 'PRIMARY', defid:1838488, word:H. 
Mysql Insert Error: 1062, Duplicate entry '1838488' for key 'PRIMARY', defid:1838488, word:H. 
Mysql Insert Error: 1062, Duplicate entry '1838488' for key 'PRIMARY', defid:1838488, word:H. 
Mysql Insert Error: 1062, Duplicate entry '4062858' for key 'PRIMARY', defid:4062858, word:H-Game 
Mysql Insert Error: 1062, Duplicate entry '4062858' for key 'PRIMARY', defid:4062858, word:H-Game 
